{'statement': 'You are looking for a city with cold weather. Between Darwin and Fukuoka, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Darwin'}
{'statement': 'You are looking for a city with cold weather. Between Viedma and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Viedma'}
{'statement': 'You are looking for a city with cold weather. Between Napier and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Napier'}
{'statement': 'You are looking for a city with cold weather. Between Panama City and Mendoza, you should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Panama City'}
{'statement': 'You are looking for a city with cold weather. Between San Juan and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Phnom Penh and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Phnom Penh'}
{'statement': 'You are looking for a city with cold weather. Between Cabo San Lucas and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Cabo San Lucas'}
{'statement': 'You are looking for a city with cold weather. Between Abéché and Los Angeles, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Abéché'}
{'statement': 'You are looking for a city with cold weather. Between Perth and Anchorage, you should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Perth'}
{'statement': 'You are looking for a city with cold weather. Between Kuwait City and Indianapolis, you should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a city with cold weather. Between Caracas and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Caracas'}
{'statement': 'You are looking for a city with cold weather. Between Hanoi and Wellington, you should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a city with cold weather. Between Pretoria and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a city with cold weather. Between Barranquilla and Calgary, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Piura and Brussels, you should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Piura'}
{'statement': 'You are looking for a city with cold weather. Between Karachi and Melbourne, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Karachi'}
{'statement': 'You are looking for a city with cold weather. Between Yaoundé and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'You are looking for a city with cold weather. Between Mumbai and Lyon, you should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a city with cold weather. Between Hat Yai and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Hat Yai'}
{'statement': 'You are looking for a city with cold weather. Between Garoua and Omaha, you should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Garoua'}
{'statement': 'You are looking for a city with cold weather. Between Bangui and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Bangui'}
{'statement': 'You are looking for a city with cold weather. Between Caracas and Ushuaia, you should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Caracas'}
{'statement': 'You are looking for a city with cold weather. Between Brasília and Zürich, you should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Brasília'}
{'statement': 'You are looking for a city with cold weather. Between Douala and Johannesburg, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Douala'}
{'statement': 'You are looking for a city with cold weather. Between Paramaribo and Ljubljana, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Paramaribo'}
{'statement': 'You are looking for a city with cold weather. Between Pittsburgh and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Pittsburgh'}
{'statement': 'You are looking for a city with cold weather. Between Nouakchott and Chicago, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'You are looking for a city with cold weather. Between Neuquén and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Neuquén'}
{'statement': 'You are looking for a city with cold weather. Between Ségou and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Ségou'}
{'statement': 'You are looking for a city with cold weather. Between Riyadh and Toluca, you should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a city with cold weather. Between Tucson and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Tucson'}
