{'statement': 'Someone is looking for a big city to visit. Between Baghdad and Ségou, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Milwaukee, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Milwaukee'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Damascus, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Damascus'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Kathmandu, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Indianapolis, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Kampala, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kampala'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and Fairbanks, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Omaha, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Wau, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Sapporo, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a big city to visit. Between Addis Ababa and La Ceiba, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Damascus, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Damascus'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Sapporo, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Bucharest, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Someone is looking for a big city to visit. Between Lahore and Rome, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Rome'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Kathmandu, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Surabaya and Calgary, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Calgary'}
