{'statement': 'Between Mahajanga and Bahía Blanca, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Douala and Paris, the city with warmer weather is Douala.', 'answer': 'Douala', 'candidate': 'Paris'}
{'statement': 'Between La Paz and Erzurum, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Erzurum'}
{'statement': 'Between Kano and Cape Town, the city with warmer weather is Kano.', 'answer': 'Kano', 'candidate': 'Cape Town'}
{'statement': 'Between Ho Chi Minh City and Tirana, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Tirana'}
{'statement': 'Between Kuwait City and Bergen, the city with warmer weather is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Bergen'}
{'statement': 'Between Rosario and Oslo, the city with warmer weather is Rosario.', 'answer': 'Rosario', 'candidate': 'Oslo'}
{'statement': 'Between Honolulu and Fairbanks, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Fairbanks'}
{'statement': 'Between Hamilton and Calgary, the city with warmer weather is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Calgary'}
{'statement': 'Between Kingston and Pittsburgh, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Pittsburgh'}
{'statement': 'Between Djibouti and Podgorica, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Podgorica'}
{'statement': 'Between Surabaya and Indianapolis, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Indianapolis'}
{'statement': 'Between Brasília and Calgary, the city with warmer weather is Brasília.', 'answer': 'Brasília', 'candidate': 'Calgary'}
{'statement': 'Between San Juan and Bucharest, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Bucharest'}
{'statement': 'Between Hanoi and Frankfurt, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Frankfurt'}
{'statement': 'Between Durban and Minneapolis, the city with warmer weather is Durban.', 'answer': 'Durban', 'candidate': 'Minneapolis'}
{'statement': 'Between Tabora and Almaty, the city with warmer weather is Tabora.', 'answer': 'Tabora', 'candidate': 'Almaty'}
{'statement': 'Between Djibouti and Addis Ababa, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Addis Ababa'}
{'statement': 'Between La Ceiba and Sapporo, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Sapporo'}
{'statement': 'Between Phnom Penh and Novosibirsk, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Novosibirsk'}
{'statement': 'Between Sokoto and Christchurch, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Christchurch'}
{'statement': 'Between Panama City and Zagreb, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Zagreb'}
{'statement': 'Between Chicago and Ulaanbaatar, the city with warmer weather is Chicago.', 'answer': 'Chicago', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Villahermosa and Ulaanbaatar, the city with warmer weather is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Surabaya and Zürich, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Zürich'}
{'statement': 'Between Panama City and Suwałki, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Suwałki'}
