{'statement': 'Between Garoua and Belgrade, the city with warmer weather is Garoua.', 'answer': 'Garoua', 'candidate': 'Belgrade'}
{'statement': 'Between Port Moresby and Wellington, the city with warmer weather is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Wellington'}
{'statement': 'Between Panama City and Kuopio, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Kuopio'}
{'statement': 'Between Rabat and Saint Petersburg, the city with warmer weather is Rabat.', 'answer': 'Rabat', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Dar es Salaam and Murmansk, the city with warmer weather is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Murmansk'}
{'statement': 'Between Bangkok and Milwaukee, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Milwaukee'}
{'statement': 'Between Baghdad and Zürich, the city with warmer weather is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Zürich'}
{'statement': 'Between Caracas and Fairbanks, the city with warmer weather is Caracas.', 'answer': 'Caracas', 'candidate': 'Fairbanks'}
{'statement': 'Between Bahía Blanca and Fairbanks, the city with warmer weather is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Fairbanks'}
{'statement': 'Between Mombasa and Addis Ababa, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Addis Ababa'}
{'statement': 'Between San Juan and Albuquerque, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Albuquerque'}
{'statement': 'Between Benghazi and Toronto, the city with warmer weather is Benghazi.', 'answer': 'Benghazi', 'candidate': 'Toronto'}
{'statement': 'Between Djibouti and Fukuoka, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Fukuoka'}
{'statement': 'Between Brisbane and Novosibirsk, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'Between Bangkok and Johannesburg, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Johannesburg'}
{'statement': 'Between Alexandria and Lviv, the city with warmer weather is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lviv'}
{'statement': 'Between Fianarantsoa and Saint Petersburg, the city with warmer weather is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Belize City and Moscow, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Moscow'}
{'statement': 'Between Toliara and Milwaukee, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Milwaukee'}
{'statement': 'Between Goiânia and Oslo, the city with warmer weather is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Oslo'}
{'statement': 'Between Garissa and Lisbon, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Lisbon'}
{'statement': 'Between Kabul and Ulaanbaatar, the city with warmer weather is Kabul.', 'answer': 'Kabul', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Kansas City and Murmansk, the city with warmer weather is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Murmansk'}
{'statement': 'Between Nakhon Ratchasima and Wellington, the city with warmer weather is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Wellington'}
{'statement': 'Between Garissa and Tauranga, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Tauranga'}
{'statement': 'Between Managua and Saskatoon, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Saskatoon'}
{'statement': 'Between Riyadh and Vladivostok, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Vladivostok'}
{'statement': 'Between Boise and Fairbanks, the city with warmer weather is Boise.', 'answer': 'Boise', 'candidate': 'Fairbanks'}
{'statement': 'Between Cotonou and Tirana, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Tirana'}
{'statement': 'Between Paramaribo and Erzurum, the city with warmer weather is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Erzurum'}
{'statement': 'Between Entebbe and Vienna, the city with warmer weather is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Vienna'}
{'statement': 'Between Jakarta and Moscow, the city with warmer weather is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Moscow'}
{'statement': 'Between Dar es Salaam and Canberra, the city with warmer weather is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Canberra'}
{'statement': 'Between Toliara and Vladivostok, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Vladivostok'}
{'statement': 'Between Suva and Dublin, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Dublin'}
{'statement': 'Between Kathmandu and Minsk, the city with warmer weather is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Minsk'}
{'statement': 'Between Makurdi and Pittsburgh, the city with warmer weather is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Pittsburgh'}
{'statement': 'Between Jakarta and Yinchuan, the city with warmer weather is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yinchuan'}
{'statement': 'Between Caracas and Bishkek, the city with warmer weather is Caracas.', 'answer': 'Caracas', 'candidate': 'Bishkek'}
{'statement': 'Between Brisbane and Amsterdam, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Amsterdam'}
