{'statement': 'Someone is looking for a city with warm weather. Between Darwin and Fukuoka, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a city with warm weather. Between Viedma and Saskatoon, this person should visit Viedma.', 'answer': 'Viedma', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Napier and Kuopio, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Panama City and Mendoza, this person should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a city with warm weather. Between San Juan and Sacramento, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Sacramento'}
{'statement': 'Someone is looking for a city with warm weather. Between Phnom Penh and Napier, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a city with warm weather. Between Cabo San Lucas and Saint Petersburg, this person should visit Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Abéché and Los Angeles, this person should visit Abéché.', 'answer': 'Abéché', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a city with warm weather. Between Perth and Anchorage, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Anchorage'}
{'statement': 'Someone is looking for a city with warm weather. Between Kuwait City and Indianapolis, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Caracas and Kuopio, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Hanoi and Wellington, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Wellington'}
{'statement': 'Someone is looking for a city with warm weather. Between Pretoria and Minneapolis, this person should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Barranquilla and Calgary, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Calgary'}
{'statement': 'Someone is looking for a city with warm weather. Between Piura and Brussels, this person should visit Piura.', 'answer': 'Piura', 'candidate': 'Brussels'}
{'statement': 'Someone is looking for a city with warm weather. Between Karachi and Melbourne, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a city with warm weather. Between Yaoundé and Minsk, this person should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Minsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Mumbai and Lyon, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Lyon'}
{'statement': 'Someone is looking for a city with warm weather. Between Hat Yai and Belgrade, this person should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a city with warm weather. Between Garoua and Omaha, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangui and Podgorica, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a city with warm weather. Between Caracas and Ushuaia, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between Brasília and Zürich, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Zürich'}
{'statement': 'Someone is looking for a city with warm weather. Between Douala and Johannesburg, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Paramaribo and Ljubljana, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a city with warm weather. Between Pittsburgh and Murmansk, this person should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Nouakchott and Chicago, this person should visit Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a city with warm weather. Between Neuquén and Reykjavík, this person should visit Neuquén.', 'answer': 'Neuquén', 'candidate': 'Reykjavík'}
