{'statement': "You don't like small cities. Between Moscow and Dublin, you should visit Moscow.", 'answer': 'Moscow', 'candidate': 'Dublin'}
{'statement': "You don't like small cities. Between Riyadh and Palmerston North, you should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': "You don't like small cities. Between Lahore and La Paz, you should visit Lahore.", 'answer': 'Lahore', 'candidate': 'La Paz'}
{'statement': "You don't like small cities. Between Lahore and Tashkent, you should visit Lahore.", 'answer': 'Lahore', 'candidate': 'Tashkent'}
{'statement': "You don't like small cities. Between Beijing and Hobart, you should visit Beijing.", 'answer': 'Beijing', 'candidate': 'Hobart'}
{'statement': "You don't like small cities. Between Alexandria and Tampa, you should visit Alexandria.", 'answer': 'Alexandria', 'candidate': 'Tampa'}
{'statement': "You don't like small cities. Between Luanda and Tripoli, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Tripoli'}
{'statement': "You don't like small cities. Between Mexico City and Cayenne, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Cayenne'}
{'statement': "You don't like small cities. Between Lahore and Conakry, you should visit Lahore.", 'answer': 'Lahore', 'candidate': 'Conakry'}
{'statement': "You don't like small cities. Between Sydney and La Ceiba, you should visit Sydney.", 'answer': 'Sydney', 'candidate': 'La Ceiba'}
{'statement': "You don't like small cities. Between Mexico City and Conakry, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Conakry'}
{'statement': "You don't like small cities. Between Riyadh and Ouahigouya, you should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Ouahigouya'}
{'statement': "You don't like small cities. Between Kuwait City and Murmansk, you should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Murmansk'}
{'statement': "You don't like small cities. Between Cairo and Toluca, you should visit Cairo.", 'answer': 'Cairo', 'candidate': 'Toluca'}
{'statement': "You don't like small cities. Between Baghdad and Conakry, you should visit Baghdad.", 'answer': 'Baghdad', 'candidate': 'Conakry'}
{'statement': "You don't like small cities. Between Surabaya and Thiès, you should visit Surabaya.", 'answer': 'Surabaya', 'candidate': 'Thiès'}
{'statement': "You don't like small cities. Between Paris and Nairobi, you should visit Paris.", 'answer': 'Paris', 'candidate': 'Nairobi'}
