{'statement': "You don't like hot weather. Between Abéché and Córdoba, you should visit Córdoba.", 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': "You don't like hot weather. Between Wau and Fairbanks, you should visit Fairbanks.", 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': "You don't like hot weather. Between Rome and Mumbai, you should visit Rome.", 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': "You don't like hot weather. Between Sydney and Erzurum, you should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': "You don't like hot weather. Between Ulaanbaatar and Chihuahua, you should visit Ulaanbaatar.", 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': "You don't like hot weather. Between Mahajanga and Skopje, you should visit Skopje.", 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': "You don't like hot weather. Between Cayenne and Ürümqi, you should visit Ürümqi.", 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': "You don't like hot weather. Between Fairbanks and Bergen, you should visit Fairbanks.", 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': "You don't like hot weather. Between Oslo and Lima, you should visit Oslo.", 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': "You don't like hot weather. Between Abéché and Baku, you should visit Baku.", 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': "You don't like hot weather. Between Podgorica and Belize City, you should visit Podgorica.", 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': "You don't like hot weather. Between Belize City and Frankfurt, you should visit Frankfurt.", 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': "You don't like hot weather. Between Willemstad and Algiers, you should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': "You don't like hot weather. Between Moscow and Port Moresby, you should visit Moscow.", 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': "You don't like hot weather. Between Bangui and Halifax, you should visit Halifax.", 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': "You don't like hot weather. Between Minsk and Sokoto, you should visit Minsk.", 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': "You don't like hot weather. Between Denver and Lake Havasu City, you should visit Denver.", 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': "You don't like hot weather. Between Toronto and San Juan, you should visit Toronto.", 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': "You don't like hot weather. Between Cape Town and Malabo, you should visit Cape Town.", 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': "You don't like hot weather. Between Napier and Riyadh, you should visit Napier.", 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': "You don't like hot weather. Between Saint Petersburg and Karachi, you should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': "You don't like hot weather. Between Cabo San Lucas and Boise, you should visit Boise.", 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': "You don't like hot weather. Between Phnom Penh and Minsk, you should visit Minsk.", 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': "You don't like hot weather. Between Ankara and Manila, you should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': "You don't like hot weather. Between Juba and Mexico City, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': "You don't like hot weather. Between Campos do Jordão and Niamey, you should visit Campos do Jordão.", 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': "You don't like hot weather. Between Phoenix and Denver, you should visit Denver.", 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': "You don't like hot weather. Between Boise and Kingston, you should visit Boise.", 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': "You don't like hot weather. Between Lagos and Calgary, you should visit Calgary.", 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': "You don't like hot weather. Between Erzurum and Bahía Blanca, you should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Bahía Blanca'}
{'statement': "You don't like hot weather. Between Bangkok and Algiers, you should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Bangkok'}
