{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Nook, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I'm looking for an expensive restaurant. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Pita and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Lebanese Bakery and Supermodel Pizza, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Madras Pantry and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between FreshCo and Helena's Magic Kitchen, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and Piper's Pub And Grill, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an expensive restaurant. Between Maurya East Indian Roti and Top Sushi, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and KFC, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Buk Chang Dong Soon Tofu, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Topham Corner and Milo's Pita, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and LCBO, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': "I'm looking for an expensive restaurant. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Lahore Grill & Fast Food and Thai 4 You Restaurant, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel House and Nook, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between z-teca Gourmet Burritos and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Falafel Hut Village, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Carole's Cheesecake Cafe and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an expensive restaurant. Between Aris Place and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': "I'm looking for an expensive restaurant. Between Fit For Life and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Mirage Grill & Lounge and Farmacia Health Bar, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and Bao Bao Plus Dim Sum, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Slice and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between Top Sushi and Ciao Europa wine bar, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Tortería San Cosme and Tim Hortons, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Ardor Bistro and Mi Mi Restaurant, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Bake Island and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
