{'statement': 'Someone is looking for a city with warm weather. Between Garoua and Belgrade, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Moresby and Wellington, this person should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Wellington'}
{'statement': 'Someone is looking for a city with warm weather. Between Panama City and Kuopio, this person should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Rabat and Saint Petersburg, this person should visit Rabat.', 'answer': 'Rabat', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Dar es Salaam and Murmansk, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangkok and Milwaukee, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Milwaukee'}
{'statement': 'Someone is looking for a city with warm weather. Between Baghdad and Zürich, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Zürich'}
{'statement': 'Someone is looking for a city with warm weather. Between Caracas and Fairbanks, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a city with warm weather. Between Bahía Blanca and Fairbanks, this person should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a city with warm weather. Between Mombasa and Addis Ababa, this person should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a city with warm weather. Between San Juan and Albuquerque, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Albuquerque'}
{'statement': 'Someone is looking for a city with warm weather. Between Benghazi and Toronto, this person should visit Benghazi.', 'answer': 'Benghazi', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Fukuoka, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a city with warm weather. Between Brisbane and Novosibirsk, this person should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangkok and Johannesburg, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Alexandria and Lviv, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a city with warm weather. Between Fianarantsoa and Saint Petersburg, this person should visit Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Belize City and Moscow, this person should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a city with warm weather. Between Toliara and Milwaukee, this person should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Milwaukee'}
{'statement': 'Someone is looking for a city with warm weather. Between Goiânia and Oslo, this person should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Oslo'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Lisbon, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Lisbon'}
{'statement': 'Someone is looking for a city with warm weather. Between Kabul and Ulaanbaatar, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Ulaanbaatar'}
{'statement': 'Someone is looking for a city with warm weather. Between Kansas City and Murmansk, this person should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Nakhon Ratchasima and Wellington, this person should visit Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Wellington'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Tauranga, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Tauranga'}
{'statement': 'Someone is looking for a city with warm weather. Between Managua and Saskatoon, this person should visit Managua.', 'answer': 'Managua', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Riyadh and Vladivostok, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Boise and Fairbanks, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'Fairbanks'}
