{'statement': "I don't like restaurants further away. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I don't like restaurants further away. Between Anatolia Restaurant and Carole's Cheesecake Cafe, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like restaurants further away. Between EJ Sushi and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': "I don't like restaurants further away. Between Juice & Java Cafe and Hawthorne Food and Drink, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Eastern legend and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': "I don't like restaurants further away. Between Kim PO Vietnamese and Banjara Indian Cuisine, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between Helena's Magic Kitchen and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like restaurants further away. Between Freshii and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Shawarma Twist and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like restaurants further away. Between Mt Everest Restaurant and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
