{'statement': 'Between Barranquilla and Sacramento, the city with colder weather is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': 'Between Suva and Minneapolis, the city with colder weather is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': 'Between Port Sudan and Buenos Aires, the city with colder weather is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': 'Between Wau and Bratislava, the city with colder weather is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Wau'}
{'statement': 'Between Ho Chi Minh City and Ushuaia, the city with colder weather is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Managua and Napier, the city with colder weather is Napier.', 'answer': 'Napier', 'candidate': 'Managua'}
{'statement': 'Between Bamako and Milwaukee, the city with colder weather is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bamako'}
{'statement': 'Between Shanghai and Ottawa, the city with colder weather is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Shanghai'}
{'statement': 'Between Willemstad and Vienna, the city with colder weather is Vienna.', 'answer': 'Vienna', 'candidate': 'Willemstad'}
{'statement': 'Between Bujumbura and Ljubljana, the city with colder weather is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Bujumbura'}
{'statement': 'Between Guangzhou and Almaty, the city with colder weather is Almaty.', 'answer': 'Almaty', 'candidate': 'Guangzhou'}
{'statement': 'Between Porto Alegre and Copenhagen, the city with colder weather is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Porto Alegre'}
{'statement': 'Between Luanda and Ürümqi, the city with colder weather is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Luanda'}
{'statement': 'Between San Juan and Addis Ababa, the city with colder weather is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': 'Between Valencia and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Valencia'}
{'statement': 'Between Wau and Anchorage, the city with colder weather is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Wau'}
{'statement': 'Between Mombasa and Toluca, the city with colder weather is Toluca.', 'answer': 'Toluca', 'candidate': 'Mombasa'}
{'statement': 'Between Dodoma and Saskatoon, the city with colder weather is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Dodoma'}
{'statement': 'Between Bujumbura and Indianapolis, the city with colder weather is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Bujumbura'}
{'statement': 'Between Lusaka and Zürich, the city with colder weather is Zürich.', 'answer': 'Zürich', 'candidate': 'Lusaka'}
{'statement': 'Between Honolulu and Rome, the city with colder weather is Rome.', 'answer': 'Rome', 'candidate': 'Honolulu'}
{'statement': 'Between Mumbai and Cape Town, the city with colder weather is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Mumbai'}
{'statement': 'Between Kunming and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Kunming'}
{'statement': 'Between Perth and Nur-Sultan, the city with colder weather is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Perth'}
{'statement': 'Between Barranquilla and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Barranquilla'}
{'statement': 'Between Lusaka and Kuopio, the city with colder weather is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Lusaka'}
{'statement': 'Between Managua and Reykjavík, the city with colder weather is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Managua'}
{'statement': 'Between Mandalay and Zürich, the city with colder weather is Zürich.', 'answer': 'Zürich', 'candidate': 'Mandalay'}
{'statement': 'Between Guadalajara and Chicago, the city with colder weather is Chicago.', 'answer': 'Chicago', 'candidate': 'Guadalajara'}
{'statement': 'Between San Juan and Palmerston North, the city with colder weather is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'San Juan'}
{'statement': 'Between Hat Yai and Campos do Jordão, the city with colder weather is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Hat Yai'}
{'statement': 'Between Tamanrasset and Zagreb, the city with colder weather is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Tamanrasset'}
{'statement': 'Between Willemstad and Kuopio, the city with colder weather is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Willemstad'}
{'statement': 'Between Baghdad and Dublin, the city with colder weather is Dublin.', 'answer': 'Dublin', 'candidate': 'Baghdad'}
{'statement': 'Between Nouakchott and Rome, the city with colder weather is Rome.', 'answer': 'Rome', 'candidate': 'Nouakchott'}
{'statement': 'Between Rangpur and Milan, the city with colder weather is Milan.', 'answer': 'Milan', 'candidate': 'Rangpur'}
{'statement': 'Between Phnom Penh and Christchurch, the city with colder weather is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Phnom Penh'}
{'statement': 'Between Caracas and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Caracas'}
{'statement': 'Between Kingston and Johannesburg, the city with colder weather is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kingston'}
{'statement': 'Between Suva and Melbourne, the city with colder weather is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Suva'}
{'statement': 'Between Cotonou and Sapporo, the city with colder weather is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Cotonou'}
{'statement': 'Between Valencia and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Valencia'}
{'statement': 'Between Port Moresby and Sapporo, the city with colder weather is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Port Moresby'}
{'statement': 'Between Thiès and Frankfurt, the city with colder weather is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Thiès'}
{'statement': 'Between Ljubljana and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Ljubljana'}
{'statement': 'Between Lomé and Saskatoon, the city with colder weather is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Lomé'}
{'statement': 'Between Upington and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Upington'}
{'statement': 'Between Nouadhibou and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Nouadhibou'}
{'statement': 'Between Riyadh and Frankfurt, the city with colder weather is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Riyadh'}
{'statement': 'Between Sokoto and Sapporo, the city with colder weather is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Sokoto'}
{'statement': 'Between Tamanrasset and Minneapolis, the city with colder weather is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Tamanrasset'}
{'statement': 'Between Mahajanga and Bergen, the city with colder weather is Bergen.', 'answer': 'Bergen', 'candidate': 'Mahajanga'}
{'statement': 'Between Phnom Penh and Ljubljana, the city with colder weather is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phnom Penh'}
{'statement': 'Between Ségou and Lhasa, the city with colder weather is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Ségou'}
{'statement': 'Between Albuquerque and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Albuquerque'}
{'statement': 'Between Bangui and Minneapolis, the city with colder weather is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bangui'}
{'statement': 'Between Kano and Belgrade, the city with colder weather is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Kano'}
{'statement': 'Between Caracas and Berlin, the city with colder weather is Berlin.', 'answer': 'Berlin', 'candidate': 'Caracas'}
{'statement': 'Between Gabès and Yakutsk, the city with colder weather is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Gabès'}
{'statement': 'Between Mombasa and Christchurch, the city with colder weather is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Mombasa'}
{'statement': 'Between Port Moresby and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Port Moresby'}
{'statement': 'Between Florianópolis and Novosibirsk, the city with colder weather is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Florianópolis'}
{'statement': 'Between Barranquilla and Albuquerque, the city with colder weather is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Barranquilla'}
{'statement': 'Between Piura and Bratislava, the city with colder weather is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Piura'}
{'statement': 'Between Lomé and Belgrade, the city with colder weather is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Lomé'}
{'statement': 'Between Ouahigouya and Irkutsk, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Ouahigouya'}
{'statement': 'Between Wau and Lviv, the city with colder weather is Lviv.', 'answer': 'Lviv', 'candidate': 'Wau'}
{'statement': 'Between Thiès and Ankara, the city with colder weather is Ankara.', 'answer': 'Ankara', 'candidate': 'Thiès'}
