{'statement': "Someone doesn't like cheap restaurants. Between Nook and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "Someone doesn't like cheap restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like cheap restaurants. Between Buk Chang Dong Soon Tofu and LCBO, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and Juice & Java Cafe, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Hina Sushi, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between LCBO and Queen Pita, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Lebanese Bakery and Supermodel Pizza, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and New Bilan Restaurant, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Chipotle Mexican Grill and Madras Pantry, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Helena's Magic Kitchen and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and Piper's Pub And Grill, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like cheap restaurants. Between Top Sushi and Maurya East Indian Roti, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between KFC and La Pupusa Loka, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Buk Chang Dong Soon Tofu, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Topham Corner and Milo's Pita, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Domino's Pizza and Sushi World, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
