{'statement': 'Between Córdoba and Abéché, the city with lower average temperature is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': 'Between Wau and Fairbanks, the city with lower average temperature is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': 'Between Mumbai and Rome, the city with lower average temperature is Rome.', 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': 'Between Sydney and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': 'Between Ulaanbaatar and Chihuahua, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': 'Between Skopje and Mahajanga, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Between Cayenne and Ürümqi, the city with lower average temperature is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': 'Between Fairbanks and Bergen, the city with lower average temperature is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': 'Between Lima and Oslo, the city with lower average temperature is Oslo.', 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': 'Between Baku and Abéché, the city with lower average temperature is Baku.', 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': 'Between Podgorica and Belize City, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': 'Between Frankfurt and Belize City, the city with lower average temperature is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': 'Between Willemstad and Algiers, the city with lower average temperature is Algiers.', 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': 'Between Moscow and Port Moresby, the city with lower average temperature is Moscow.', 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': 'Between Halifax and Bangui, the city with lower average temperature is Halifax.', 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': 'Between Sokoto and Minsk, the city with lower average temperature is Minsk.', 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': 'Between Denver and Lake Havasu City, the city with lower average temperature is Denver.', 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': 'Between San Juan and Toronto, the city with lower average temperature is Toronto.', 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': 'Between Malabo and Cape Town, the city with lower average temperature is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': 'Between Napier and Riyadh, the city with lower average temperature is Napier.', 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': 'Between Karachi and Saint Petersburg, the city with lower average temperature is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': 'Between Cabo San Lucas and Boise, the city with lower average temperature is Boise.', 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Minsk and Phnom Penh, the city with lower average temperature is Minsk.', 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': 'Between Ankara and Manila, the city with lower average temperature is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Juba and Mexico City, the city with lower average temperature is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': 'Between Campos do Jordão and Niamey, the city with lower average temperature is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': 'Between Phoenix and Denver, the city with lower average temperature is Denver.', 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': 'Between Kingston and Boise, the city with lower average temperature is Boise.', 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': 'Between Lagos and Calgary, the city with lower average temperature is Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': 'Between Bahía Blanca and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Algiers and Bangkok, the city with lower average temperature is Algiers.', 'answer': 'Algiers', 'candidate': 'Bangkok'}
{'statement': 'Between Garissa and Campos do Jordão, the city with lower average temperature is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Garissa'}
{'statement': 'Between Dodoma and Paris, the city with lower average temperature is Paris.', 'answer': 'Paris', 'candidate': 'Dodoma'}
{'statement': 'Between Algiers and Abéché, the city with lower average temperature is Algiers.', 'answer': 'Algiers', 'candidate': 'Abéché'}
{'statement': 'Between Palembang and Paris, the city with lower average temperature is Paris.', 'answer': 'Paris', 'candidate': 'Palembang'}
{'statement': 'Between Punta Arenas and Lomé, the city with lower average temperature is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Lomé'}
{'statement': 'Between Palembang and Kunming, the city with lower average temperature is Kunming.', 'answer': 'Kunming', 'candidate': 'Palembang'}
{'statement': 'Between Ushuaia and Toamasina, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Toamasina'}
{'statement': 'Between Kabul and Mandalay, the city with lower average temperature is Kabul.', 'answer': 'Kabul', 'candidate': 'Mandalay'}
{'statement': 'Between Mombasa and Palmerston North, the city with lower average temperature is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Mombasa'}
{'statement': 'Between Dublin and Cayenne, the city with lower average temperature is Dublin.', 'answer': 'Dublin', 'candidate': 'Cayenne'}
