{'statement': 'You are looking for a city with cold weather. Between Barranquilla and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Suva and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Port Sudan and Buenos Aires, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': 'You are looking for a city with cold weather. Between Wau and Bratislava, you should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Wau'}
{'statement': 'You are looking for a city with cold weather. Between Ho Chi Minh City and Ushuaia, you should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a city with cold weather. Between Managua and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Managua'}
{'statement': 'You are looking for a city with cold weather. Between Bamako and Milwaukee, you should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bamako'}
{'statement': 'You are looking for a city with cold weather. Between Shanghai and Ottawa, you should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a city with cold weather. Between Willemstad and Vienna, you should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Willemstad'}
{'statement': 'You are looking for a city with cold weather. Between Bujumbura and Ljubljana, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Bujumbura'}
{'statement': 'You are looking for a city with cold weather. Between Guangzhou and Almaty, you should visit Almaty.', 'answer': 'Almaty', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a city with cold weather. Between Porto Alegre and Copenhagen, you should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Porto Alegre'}
{'statement': 'You are looking for a city with cold weather. Between Luanda and Ürümqi, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Luanda'}
{'statement': 'You are looking for a city with cold weather. Between San Juan and Addis Ababa, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Valencia and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Valencia'}
{'statement': 'You are looking for a city with cold weather. Between Wau and Anchorage, you should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Wau'}
{'statement': 'You are looking for a city with cold weather. Between Mombasa and Toluca, you should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a city with cold weather. Between Dodoma and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Dodoma'}
