{'statement': 'You are looking for a small city to visit. Between Monterrey and Florianópolis, you should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Monterrey'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Kathmandu, you should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Phoenix and Mandalay, you should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a small city to visit. Between Sydney and Antofagasta, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Sydney'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Port-Gentil, you should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Ürümqi and Cotonou, you should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Makurdi, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Phoenix and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and Mahajanga, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Medellín and Neuquén, you should visit Neuquén.', 'answer': 'Neuquén', 'candidate': 'Medellín'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Erbil, you should visit Erbil.', 'answer': 'Erbil', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Denver and Juba, you should visit Juba.', 'answer': 'Juba', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Lagos and Yakutsk, you should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Lagos'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Palermo, you should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Karachi and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Karachi'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Fukuoka, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Kabul and Pretoria, you should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Kabul'}
