{'statement': 'Between Canberra and Cotonou, the city with higher average temperature is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Canberra'}
{'statement': 'Between Mahajanga and Ljubljana, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ljubljana'}
{'statement': 'Between Skopje and Lake Havasu City, the city with higher average temperature is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Skopje'}
{'statement': 'Between Sapporo and La Paz, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Sapporo'}
{'statement': 'Between Sacramento and Nur-Sultan, the city with higher average temperature is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Luanda and Lyon, the city with higher average temperature is Luanda.', 'answer': 'Luanda', 'candidate': 'Lyon'}
{'statement': 'Between Novosibirsk and Wellington, the city with higher average temperature is Wellington.', 'answer': 'Wellington', 'candidate': 'Novosibirsk'}
{'statement': 'Between Muscat and Copenhagen, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Copenhagen'}
{'statement': 'Between Calgary and Cotonou, the city with higher average temperature is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Calgary'}
{'statement': 'Between Douala and Campos do Jordão, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Ségou and Irkutsk, the city with higher average temperature is Ségou.', 'answer': 'Ségou', 'candidate': 'Irkutsk'}
{'statement': 'Between Gabès and Irkutsk, the city with higher average temperature is Gabès.', 'answer': 'Gabès', 'candidate': 'Irkutsk'}
{'statement': 'Between Ürümqi and Surabaya, the city with higher average temperature is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Ürümqi'}
{'statement': 'Between Vladivostok and Pontianak, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Vladivostok'}
{'statement': 'Between Lviv and Paramaribo, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Lviv'}
{'statement': 'Between Pontianak and Minneapolis, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Minneapolis'}
{'statement': 'Between Saint Petersburg and Parakou, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Chihuahua and Bangkok, the city with higher average temperature is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Chihuahua'}
{'statement': 'Between La Paz and Frankfurt, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Frankfurt'}
{'statement': 'Between Erzurum and Mombasa, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Erzurum'}
{'statement': 'Between Nouakchott and Christchurch, the city with higher average temperature is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Christchurch'}
{'statement': 'Between Lagos and Reykjavík, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Reykjavík'}
{'statement': 'Between Canberra and Barranquilla, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Canberra'}
{'statement': 'Between Sydney and Willemstad, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Sydney'}
{'statement': 'Between Mombasa and Milwaukee, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Milwaukee'}
{'statement': 'Between Toliara and Paris, the city with higher average temperature is Toliara.', 'answer': 'Toliara', 'candidate': 'Paris'}
