{'statement': 'Between Sokoto and Auckland, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Auckland'}
{'statement': 'Between Wau and Fukuoka, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Fukuoka'}
{'statement': 'Between Juba and Kunming, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Kunming'}
{'statement': 'Between Buenos Aires and Moscow, the city with warmer weather is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Moscow'}
{'statement': 'Between Medellín and Ljubljana, the city with warmer weather is Medellín.', 'answer': 'Medellín', 'candidate': 'Ljubljana'}
{'statement': 'Between Brisbane and Novosibirsk, the city with warmer weather is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'Between Cotonou and London, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'London'}
{'statement': 'Between Barranquilla and Bogotá, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Bogotá'}
{'statement': 'Between Antsiranana and Fairbanks, the city with warmer weather is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Fairbanks'}
{'statement': 'Between Kingston and Zagreb, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Zagreb'}
{'statement': 'Between Mandalay and Toluca, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Toluca'}
{'statement': 'Between Belize City and Lhasa, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Lhasa'}
{'statement': 'Between Suva and Lhasa, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Lhasa'}
{'statement': 'Between Fukuoka and Kuopio, the city with warmer weather is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Kuopio'}
{'statement': 'Between Beirut and Brussels, the city with warmer weather is Beirut.', 'answer': 'Beirut', 'candidate': 'Brussels'}
{'statement': 'Between Cotonou and Frankfurt, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Frankfurt'}
