{'statement': "I don't like hot weather. Between Abéché and Córdoba, I should visit Córdoba.", 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': "I don't like hot weather. Between Wau and Fairbanks, I should visit Fairbanks.", 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': "I don't like hot weather. Between Mumbai and Rome, I should visit Rome.", 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': "I don't like hot weather. Between Sydney and Erzurum, I should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': "I don't like hot weather. Between Ulaanbaatar and Chihuahua, I should visit Ulaanbaatar.", 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': "I don't like hot weather. Between Mahajanga and Skopje, I should visit Skopje.", 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': "I don't like hot weather. Between Cayenne and Ürümqi, I should visit Ürümqi.", 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': "I don't like hot weather. Between Fairbanks and Bergen, I should visit Fairbanks.", 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': "I don't like hot weather. Between Lima and Oslo, I should visit Oslo.", 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': "I don't like hot weather. Between Baku and Abéché, I should visit Baku.", 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': "I don't like hot weather. Between Podgorica and Belize City, I should visit Podgorica.", 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': "I don't like hot weather. Between Belize City and Frankfurt, I should visit Frankfurt.", 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': "I don't like hot weather. Between Algiers and Willemstad, I should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': "I don't like hot weather. Between Port Moresby and Moscow, I should visit Moscow.", 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': "I don't like hot weather. Between Halifax and Bangui, I should visit Halifax.", 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': "I don't like hot weather. Between Minsk and Sokoto, I should visit Minsk.", 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': "I don't like hot weather. Between Denver and Lake Havasu City, I should visit Denver.", 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': "I don't like hot weather. Between Toronto and San Juan, I should visit Toronto.", 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': "I don't like hot weather. Between Cape Town and Malabo, I should visit Cape Town.", 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': "I don't like hot weather. Between Riyadh and Napier, I should visit Napier.", 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': "I don't like hot weather. Between Karachi and Saint Petersburg, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': "I don't like hot weather. Between Boise and Cabo San Lucas, I should visit Boise.", 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': "I don't like hot weather. Between Minsk and Phnom Penh, I should visit Minsk.", 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': "I don't like hot weather. Between Ankara and Manila, I should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': "I don't like hot weather. Between Juba and Mexico City, I should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': "I don't like hot weather. Between Campos do Jordão and Niamey, I should visit Campos do Jordão.", 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': "I don't like hot weather. Between Phoenix and Denver, I should visit Denver.", 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': "I don't like hot weather. Between Boise and Kingston, I should visit Boise.", 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': "I don't like hot weather. Between Calgary and Lagos, I should visit Calgary.", 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': "I don't like hot weather. Between Bahía Blanca and Erzurum, I should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Bahía Blanca'}
{'statement': "I don't like hot weather. Between Algiers and Bangkok, I should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Bangkok'}
{'statement': "I don't like hot weather. Between Campos do Jordão and Garissa, I should visit Campos do Jordão.", 'answer': 'Campos do Jordão', 'candidate': 'Garissa'}
{'statement': "I don't like hot weather. Between Dodoma and Paris, I should visit Paris.", 'answer': 'Paris', 'candidate': 'Dodoma'}
{'statement': "I don't like hot weather. Between Abéché and Algiers, I should visit Algiers.", 'answer': 'Algiers', 'candidate': 'Abéché'}
