{'statement': 'Between Guangzhou and Bujumbura, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bujumbura'}
{'statement': 'Between Yakutsk and Kabul, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Yakutsk'}
{'statement': 'Between Manila and Kunming, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Kunming'}
{'statement': 'Between Algiers and Mexico City, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Algiers'}
{'statement': 'Between Ankara and Mahajanga, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'Between Mumbai and Entebbe, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Entebbe'}
{'statement': 'Between Bahía Blanca and Kano, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Bucharest and Luanda, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Bucharest'}
{'statement': 'Between Paris and Panama City, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Panama City'}
{'statement': 'Between Surabaya and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Surabaya'}
{'statement': 'Between Bangkok and Calgary, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Calgary'}
{'statement': 'Between Kansas City and Johannesburg, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kansas City'}
{'statement': 'Between Algiers and Suwałki, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Suwałki'}
{'statement': 'Between Moscow and Toronto, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Toronto'}
{'statement': 'Between Durban and Houston, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Durban'}
{'statement': 'Between Shanghai and Santiago, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Santiago'}
{'statement': 'Between Riyadh and Mendoza, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Mendoza'}
{'statement': 'Between Medellín and Nairobi, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Medellín'}
