{'statement': 'Between Cotonou and Canberra, the city with lower average temperature is Canberra.', 'answer': 'Canberra', 'candidate': 'Cotonou'}
{'statement': 'Between Mahajanga and Ljubljana, the city with lower average temperature is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Mahajanga'}
{'statement': 'Between Lake Havasu City and Skopje, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Lake Havasu City'}
{'statement': 'Between La Paz and Sapporo, the city with lower average temperature is Sapporo.', 'answer': 'Sapporo', 'candidate': 'La Paz'}
{'statement': 'Between Sacramento and Nur-Sultan, the city with lower average temperature is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Sacramento'}
{'statement': 'Between Luanda and Lyon, the city with lower average temperature is Lyon.', 'answer': 'Lyon', 'candidate': 'Luanda'}
{'statement': 'Between Novosibirsk and Wellington, the city with lower average temperature is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Wellington'}
{'statement': 'Between Muscat and Copenhagen, the city with lower average temperature is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Muscat'}
{'statement': 'Between Calgary and Cotonou, the city with lower average temperature is Calgary.', 'answer': 'Calgary', 'candidate': 'Cotonou'}
{'statement': 'Between Douala and Campos do Jordão, the city with lower average temperature is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Douala'}
{'statement': 'Between Irkutsk and Ségou, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Ségou'}
{'statement': 'Between Irkutsk and Gabès, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Gabès'}
{'statement': 'Between Surabaya and Ürümqi, the city with lower average temperature is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Surabaya'}
{'statement': 'Between Pontianak and Vladivostok, the city with lower average temperature is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Pontianak'}
{'statement': 'Between Lviv and Paramaribo, the city with lower average temperature is Lviv.', 'answer': 'Lviv', 'candidate': 'Paramaribo'}
{'statement': 'Between Minneapolis and Pontianak, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pontianak'}
{'statement': 'Between Saint Petersburg and Parakou, the city with lower average temperature is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Parakou'}
{'statement': 'Between Chihuahua and Bangkok, the city with lower average temperature is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Bangkok'}
{'statement': 'Between La Paz and Frankfurt, the city with lower average temperature is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'La Paz'}
{'statement': 'Between Mombasa and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Mombasa'}
{'statement': 'Between Christchurch and Nouakchott, the city with lower average temperature is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nouakchott'}
{'statement': 'Between Reykjavík and Lagos, the city with lower average temperature is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Lagos'}
{'statement': 'Between Canberra and Barranquilla, the city with lower average temperature is Canberra.', 'answer': 'Canberra', 'candidate': 'Barranquilla'}
{'statement': 'Between Willemstad and Sydney, the city with lower average temperature is Sydney.', 'answer': 'Sydney', 'candidate': 'Willemstad'}
{'statement': 'Between Mombasa and Milwaukee, the city with lower average temperature is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Mombasa'}
{'statement': 'Between Toliara and Paris, the city with lower average temperature is Paris.', 'answer': 'Paris', 'candidate': 'Toliara'}
{'statement': 'Between Podgorica and Niamey, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Niamey'}
{'statement': 'Between Hanoi and Halifax, the city with lower average temperature is Halifax.', 'answer': 'Halifax', 'candidate': 'Hanoi'}
{'statement': 'Between Mahajanga and Skopje, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Between Suwałki and Kampala, the city with lower average temperature is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kampala'}
{'statement': 'Between Bucharest and Makassar, the city with lower average temperature is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Makassar'}
{'statement': 'Between Pretoria and Bergen, the city with lower average temperature is Bergen.', 'answer': 'Bergen', 'candidate': 'Pretoria'}
