{'statement': "Someone doesn't like cheap restaurants. Between Mt Everest Restaurant and Sizzlers, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Grappa Ristorante and Buk Chang Dong Soon Tofu, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Ardor Bistro and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Ardor Bistro'}
{'statement': "Someone doesn't like cheap restaurants. Between Lebanese Bakery and Druxy's Famous Deli, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between 9 Restaurant and Fitness Avenue, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Mamma's Pizza, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Farmacia Health Bar and Shawarma Twist, this person should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Madras Pantry and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Pho 88, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Carole's Cheesecake Cafe and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like cheap restaurants. Between Anatolia Restaurant and Sizzlers, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Solero Mediterranean Bakery and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and It's All Grk, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like cheap restaurants. Between Pasta Pantry and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Pasta Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Kim PO Vietnamese and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like cheap restaurants. Between Mövenpick Café and Green Room, this person should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Basha Middle Eastern Grill and Big Al's Diner, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Just Soups Take Out & Catering and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Phil's Original BBQ and Delicious Paradise Kitchen, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Cantine Bar & Grill and Shawarma Twist, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between La Pupusa Loka and St. Clair Shawarma and Falafel, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Joe Badali's Ristorante Italiano & Bar, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Freshii and Mi Mi Restaurant, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Edible Arrangements and EJ Sushi, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'EJ Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Kibo Sushi House, this person should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Falafel Hut Village, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Pho 88 and Tik Talk Cafe, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Branca and Kairali - Taste of Kerala, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like cheap restaurants. Between Viccino Pizzeria and Chick Fiesta, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Chick Fiesta'}
{'statement': "Someone doesn't like cheap restaurants. Between Cantine Bar & Grill and Sizzlers, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Ciao Europa wine bar, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Cantine Bar & Grill and The Empire, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Just Soups Take Out & Catering, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Big Al's Diner and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Sheriff Broaster Chicken and Fit For Life, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like cheap restaurants. Between Aris Place and Tik Talk Cafe, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and Le Papillon Park, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Pho 88 and Topham Corner, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Villa Madina, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and Supermodel Pizza, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Cafe Jules and Pasta Pantry, this person should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Le Papillon Park and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like cheap restaurants. Between Tim Hortons and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Marcello’s pizzeria and Sushi World, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Basil Express Restaurant and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Mi Mi Restaurant and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Madras Pantry, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Beryl's Pepper Pot and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like cheap restaurants. Between Lebanese Bakery and Lahore Grill & Fast Food, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Domino's Pizza, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like cheap restaurants. Between Kim PO Vietnamese and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like cheap restaurants. Between Pasta Pantry and Tim Hortons, this person should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Breakfast Room and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Juice & Java Cafe and The Empire, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Cafe Jules and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and 9 Restaurant, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Cafe Jules and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Kibo Sushi House and Galata Cafe, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Kibo Sushi House'}
{'statement': "Someone doesn't like cheap restaurants. Between Just Soups Take Out & Catering and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Viccino Pizzeria and Villa Madina, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between Druxy's Famous Deli and Maurya East Indian Roti, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Druxy's Famous Deli"}
{'statement': "Someone doesn't like cheap restaurants. Between Just Soups Take Out & Catering and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Top Sushi and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Top Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Warung Indonesia D'Eglinton and Queen Slice, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between KFC and Milestones Restaurants, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Evoo Ristorante and Mövenpick Café, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like cheap restaurants. Between Viccino Pizzeria and Green Room, this person should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Pita and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Farmacia Health Bar and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Basha Middle Eastern Grill, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Evoo Ristorante and Mi Mi Restaurant, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mi Mi Restaurant'}
