{'statement': "I don't like small cities. Between Addis Ababa and Cotonou, I should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': "I don't like small cities. Between Chicago and Baku, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': "I don't like small cities. Between Medellín and Garoua, I should visit Medellín.", 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': "I don't like small cities. Between Perth and Suwałki, I should visit Perth.", 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': "I don't like small cities. Between Los Angeles and Lomé, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': "I don't like small cities. Between Houston and Bishkek, I should visit Houston.", 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': "I don't like small cities. Between Paris and Cape Town, I should visit Paris.", 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': "I don't like small cities. Between Melbourne and Ouahigouya, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': "I don't like small cities. Between Guadalajara and Kuopio, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': "I don't like small cities. Between Nairobi and Pretoria, I should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': "I don't like small cities. Between London and Bujumbura, I should visit London.", 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': "I don't like small cities. Between Saint Petersburg and Novosibirsk, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': "I don't like small cities. Between Luanda and Podgorica, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': "I don't like small cities. Between Shanghai and Belgrade, I should visit Shanghai.", 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': "I don't like small cities. Between Houston and Ouahigouya, I should visit Houston.", 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': "I don't like small cities. Between Fukuoka and Nouadhibou, I should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': "I don't like small cities. Between Sydney and Garoua, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': "I don't like small cities. Between Kabul and Garissa, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': "I don't like small cities. Between Mexico City and Changsha, I should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': "I don't like small cities. Between Kunming and Nur-Sultan, I should visit Kunming.", 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': "I don't like small cities. Between Mumbai and Ouahigouya, I should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': "I don't like small cities. Between Sydney and Kuopio, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': "I don't like small cities. Between Ankara and Cotonou, I should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': "I don't like small cities. Between Riyadh and Erbil, I should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': "I don't like small cities. Between Toronto and Makurdi, I should visit Toronto.", 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': "I don't like small cities. Between Los Angeles and Changsha, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Changsha'}
{'statement': "I don't like small cities. Between London and Barranquilla, I should visit London.", 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': "I don't like small cities. Between Ankara and Skopje, I should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Skopje'}
{'statement': "I don't like small cities. Between Karachi and Kano, I should visit Karachi.", 'answer': 'Karachi', 'candidate': 'Kano'}
{'statement': "I don't like small cities. Between Cairo and Sokoto, I should visit Cairo.", 'answer': 'Cairo', 'candidate': 'Sokoto'}
{'statement': "I don't like small cities. Between London and Pontianak, I should visit London.", 'answer': 'London', 'candidate': 'Pontianak'}
{'statement': "I don't like small cities. Between Los Angeles and Belgrade, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Belgrade'}
{'statement': "I don't like small cities. Between Melbourne and Zagreb, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Zagreb'}
{'statement': "I don't like small cities. Between Bogotá and Porto Alegre, I should visit Bogotá.", 'answer': 'Bogotá', 'candidate': 'Porto Alegre'}
{'statement': "I don't like small cities. Between Saint Petersburg and Zagreb, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Zagreb'}
{'statement': "I don't like small cities. Between Guangzhou and Amsterdam, I should visit Guangzhou.", 'answer': 'Guangzhou', 'candidate': 'Amsterdam'}
{'statement': "I don't like small cities. Between Hanoi and Bamako, I should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Bamako'}
{'statement': "I don't like small cities. Between Los Angeles and Kunming, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Kunming'}
{'statement': "I don't like small cities. Between Lagos and Berlin, I should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Berlin'}
{'statement': "I don't like small cities. Between Los Angeles and Tirana, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Tirana'}
{'statement': "I don't like small cities. Between Lagos and Panama City, I should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Panama City'}
{'statement': "I don't like small cities. Between Ho Chi Minh City and Almaty, I should visit Ho Chi Minh City.", 'answer': 'Ho Chi Minh City', 'candidate': 'Almaty'}
{'statement': "I don't like small cities. Between London and Garissa, I should visit London.", 'answer': 'London', 'candidate': 'Garissa'}
{'statement': "I don't like small cities. Between Buenos Aires and Bratislava, I should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Bratislava'}
{'statement': "I don't like small cities. Between Guadalajara and Maputo, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Maputo'}
