{'statement': 'You are looking for a big city to visit. Between Rome and San Juan, you should visit Rome.', 'answer': 'Rome', 'candidate': 'San Juan'}
{'statement': 'You are looking for a big city to visit. Between Manila and Mahajanga, you should visit Manila.', 'answer': 'Manila', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Christchurch, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Christchurch'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Murmansk, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Piura, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Piura'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Tabora, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Tabora'}
{'statement': 'You are looking for a big city to visit. Between Algiers and Asmara, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Asmara'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Tripoli, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Tripoli'}
{'statement': 'You are looking for a big city to visit. Between Beijing and Port Sudan, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Port Sudan'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Kuwait City, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Lviv, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Lviv'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Goiânia, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Goiânia'}
{'statement': 'You are looking for a big city to visit. Between Santiago and Florianópolis, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Florianópolis'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Sucre, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Sucre'}
{'statement': 'You are looking for a big city to visit. Between Douala and Port-Gentil, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Port-Gentil'}
{'statement': 'You are looking for a big city to visit. Between Santiago and Dublin, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Dublin'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Bratislava, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a big city to visit. Between Dar es Salaam and Lusaka, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Lusaka'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Mahajanga, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Pretoria, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Lisbon, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Lisbon'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Porto Alegre, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Porto Alegre'}
{'statement': 'You are looking for a big city to visit. Between Kuwait City and La Paz, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'La Paz'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Lyon, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Lyon'}
{'statement': 'You are looking for a big city to visit. Between London and Zagreb, you should visit London.', 'answer': 'London', 'candidate': 'Zagreb'}
{'statement': 'You are looking for a big city to visit. Between Kunming and Asmara, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Asmara'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Phoenix, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a big city to visit. Between Lahore and Managua, you should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Managua'}
{'statement': 'You are looking for a big city to visit. Between Chicago and Viedma, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Viedma'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Ottawa, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Ottawa'}
{'statement': 'You are looking for a big city to visit. Between Medellín and Viedma, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Viedma'}
{'statement': 'You are looking for a big city to visit. Between Lima and Hobart, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Hobart'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Tripoli, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Tripoli'}
{'statement': 'You are looking for a big city to visit. Between San Diego and Nouadhibou, you should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Nouadhibou'}
