{'statement': 'You are looking for a small city to visit. Between Ljubljana and Phoenix, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Luanda, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Maputo, you should visit Maputo.', 'answer': 'Maputo', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Ljubljana and Minneapolis, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a small city to visit. Between Caracas and Cairo, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Cabo San Lucas and Minneapolis, you should visit Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a small city to visit. Between Upington and Brasília, you should visit Upington.', 'answer': 'Upington', 'candidate': 'Brasília'}
{'statement': 'You are looking for a small city to visit. Between Bangkok and Manila, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Manaus and Dar es Salaam, you should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a small city to visit. Between La Ceiba and Addis Ababa, you should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'You are looking for a small city to visit. Between Phoenix and Bergen, you should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a small city to visit. Between Houston and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Baku and Saint Petersburg, you should visit Baku.', 'answer': 'Baku', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Changsha and Paris, you should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Ndola and Mumbai, you should visit Ndola.', 'answer': 'Ndola', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Palembang, you should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Conakry, you should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Milwaukee and Saint Petersburg, you should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Christchurch and Los Angeles, you should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Honolulu, you should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Alexandria, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Melbourne, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Bahía Blanca and Santiago, you should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Algiers and Ankara, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between La Paz and Luanda, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Fairbanks and London, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'London'}
{'statement': 'You are looking for a small city to visit. Between Paramaribo and Moscow, you should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between San Diego and Cape Town, you should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'San Diego'}
{'statement': 'You are looking for a small city to visit. Between Brisbane and Mendoza, you should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Brisbane'}
{'statement': 'You are looking for a small city to visit. Between Medellín and Chicago, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Jakarta, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Bucharest and Melbourne, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Antsiranana, you should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Sacramento and Santiago, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Chicago and Irkutsk, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Port Sudan and Bangkok, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Douala, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Cairo and Kampala, you should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Juba and Kabul, you should visit Juba.', 'answer': 'Juba', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Lake Havasu City and Saint Petersburg, you should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Perth and Belize City, you should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Perth'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Rangpur, you should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Paris and Melbourne, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Baghdad and Lomé, you should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a small city to visit. Between Nur-Sultan and Jakarta, you should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Dar es Salaam and Wellington, you should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Bishkek, you should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Kano and La Paz, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Kano'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Aden, you should visit Aden.', 'answer': 'Aden', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Chihuahua and Hanoi, you should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Villahermosa, you should visit Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Saskatoon and Johannesburg, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Córdoba and Surabaya, you should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Wau and Riyadh, you should visit Wau.', 'answer': 'Wau', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Palembang and Ho Chi Minh City, you should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Harare and Cayenne, you should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Harare'}
{'statement': 'You are looking for a small city to visit. Between Rangpur and Moscow, you should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Toliara and Baghdad, you should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a small city to visit. Between Reykjavík and Yaoundé, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Yaoundé'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Brisbane, you should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Manila, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Tirana and Houston, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Suva, you should visit Suva.', 'answer': 'Suva', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Tabora and Ürümqi, you should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Los Angeles, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Bangkok and La Paz, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Brussels and Alexandria, you should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Mumbai and Quito, you should visit Quito.', 'answer': 'Quito', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Paris and Oslo, you should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Antofagasta and Nairobi, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Gabès and Baltimore, you should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Baltimore'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Cabo San Lucas, you should visit Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Beirut and Santiago, you should visit Beirut.', 'answer': 'Beirut', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Djibouti and Alexandria, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Alexandria'}
