{'statement': 'You are looking for a big city to visit. Between Yakutsk and San Diego, you should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a big city to visit. Between Piura and Luanda, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Piura'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Makurdi, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Gabès, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Gabès'}
{'statement': 'You are looking for a big city to visit. Between Chihuahua and Denver, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Chihuahua'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Jakarta, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a big city to visit. Between Surabaya and Bratislava, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a big city to visit. Between Ushuaia and Johannesburg, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Ushuaia'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Goiânia, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Goiânia'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Hanoi, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Darwin, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Darwin'}
{'statement': 'You are looking for a big city to visit. Between Auckland and Alexandria, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Auckland'}
{'statement': 'You are looking for a big city to visit. Between Malabo and Chicago, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': 'You are looking for a big city to visit. Between Lake Havasu City and Alexandria, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lake Havasu City'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Tauranga, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tauranga'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Kathmandu, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Bratislava, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Tirana, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tirana'}
{'statement': 'You are looking for a big city to visit. Between Irkutsk and Nairobi, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a big city to visit. Between Hat Yai and Karachi, you should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Hat Yai'}
{'statement': 'You are looking for a big city to visit. Between Mahajanga and Buenos Aires, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Tauranga and Hanoi, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Tauranga'}
{'statement': 'You are looking for a big city to visit. Between Tripoli and Lagos, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Tripoli'}
{'statement': 'You are looking for a big city to visit. Between Paris and Vladivostok, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Vladivostok'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Sucre, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sucre'}
{'statement': 'You are looking for a big city to visit. Between Brasília and Chihuahua, you should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Chihuahua'}
{'statement': 'You are looking for a big city to visit. Between Canberra and Buenos Aires, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Canberra'}
{'statement': 'You are looking for a big city to visit. Between Perth and Kunming, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Perth'}
{'statement': 'You are looking for a big city to visit. Between Conakry and Alexandria, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Conakry'}
{'statement': 'You are looking for a big city to visit. Between Berlin and Niamey, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Niamey'}
{'statement': 'You are looking for a big city to visit. Between Bangkok and Toronto, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toronto'}
{'statement': 'You are looking for a big city to visit. Between Mahajanga and Kuwait City, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Yaoundé and Jakarta, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yaoundé'}
{'statement': 'You are looking for a big city to visit. Between Phoenix and San Juan, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'San Juan'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Suva, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Wellington, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Wellington'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Tirana, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tirana'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Mumbai, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tampa'}
