{'statement': 'You are looking for a big city to visit. Between Mumbai and Florianópolis, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Florianópolis'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Auckland, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Auckland'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Garoua, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Garoua'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Garissa, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Garissa'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Denver, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Denver'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Mombasa, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Monterrey, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Monterrey'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Florianópolis, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Florianópolis'}
{'statement': 'You are looking for a big city to visit. Between Tampa and La Ceiba, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'La Ceiba'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Beirut, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Beirut'}
{'statement': 'You are looking for a big city to visit. Between Paris and Baku, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Baku'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Aden, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Aden'}
{'statement': 'You are looking for a big city to visit. Between Medellín and Saskatoon, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Saskatoon'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Albuquerque, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Albuquerque'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Malabo, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Malabo'}
{'statement': 'You are looking for a big city to visit. Between Beijing and Parakou, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Parakou'}
{'statement': 'You are looking for a big city to visit. Between Yaoundé and Tamanrasset, you should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Tamanrasset'}
{'statement': 'You are looking for a big city to visit. Between Paris and El Paso, you should visit Paris.', 'answer': 'Paris', 'candidate': 'El Paso'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Gabès, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Gabès'}
{'statement': 'You are looking for a big city to visit. Between Addis Ababa and Ségou, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ségou'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Honolulu, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Honolulu'}
{'statement': 'You are looking for a big city to visit. Between Lima and Fairbanks, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Ürümqi, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Erbil, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Erbil'}
{'statement': 'You are looking for a big city to visit. Between Johannesburg and Hat Yai, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Hat Yai'}
{'statement': 'You are looking for a big city to visit. Between Algiers and Mandalay, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Garissa, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Garissa'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Reykjavík, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Reykjavík'}
