{'statement': 'Someone is looking for a small city to visit. Between Vientiane and Nairobi, this person should visit Vientiane.', 'answer': 'Vientiane', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Thiès, this person should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Willemstad and Monterrey, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Manaus and Paris, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and Pittsburgh, this person should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Harare, this person should visit Harare.', 'answer': 'Harare', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Córdoba and Moscow, this person should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Sydney, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Denpasar, this person should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Port-Gentil, this person should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Nur-Sultan and Kabul, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Goiânia and Paris, this person should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Upington, this person should visit Upington.', 'answer': 'Upington', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between La Paz and Kabul, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Hobart and London, this person should visit Hobart.', 'answer': 'Hobart', 'candidate': 'London'}
{'statement': 'Someone is looking for a small city to visit. Between Lake Havasu City and Ürümqi, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a small city to visit. Between Monterrey and Nakhon Ratchasima, this person should visit Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Nouakchott and Santiago, this person should visit Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between London and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'London'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Manaus, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Santiago'}
