{'statement': 'You are looking for an affordable restaurant. Between Nook and Thompson Rooftop, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for an affordable restaurant. Between Mirage Grill & Lounge and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and LCBO, you should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'LCBO'}
{'statement': 'You are looking for an affordable restaurant. Between Cake Opera and Juice & Java Cafe, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for an affordable restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between LCBO and Queen Pita, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'LCBO'}
{'statement': 'You are looking for an affordable restaurant. Between Lebanese Bakery and Supermodel Pizza, you should go to Supermodel Pizza.', 'answer': 'Supermodel Pizza', 'candidate': 'Lebanese Bakery'}
{'statement': "You are looking for an affordable restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'You are looking for an affordable restaurant. Between Chipotle Mexican Grill and Madras Pantry, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You are looking for an affordable restaurant. Between FreshCo and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'FreshCo'}
{'statement': "You are looking for an affordable restaurant. Between Piper's Pub And Grill and Dinah's Cupboard, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for an affordable restaurant. Between Top Sushi and Maurya East Indian Roti, you should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'You are looking for an affordable restaurant. Between La Pupusa Loka and KFC, you should go to KFC.', 'answer': 'KFC', 'candidate': 'La Pupusa Loka'}
{'statement': 'You are looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and Hapa Toronto, you should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Hapa Toronto'}
