{'statement': "I'm looking for a big city to visit. Between Moscow and Dublin, I should visit Moscow.", 'answer': 'Moscow', 'candidate': 'Dublin'}
{'statement': "I'm looking for a big city to visit. Between Riyadh and Palmerston North, I should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': "I'm looking for a big city to visit. Between Lahore and La Paz, I should visit Lahore.", 'answer': 'Lahore', 'candidate': 'La Paz'}
{'statement': "I'm looking for a big city to visit. Between Lahore and Tashkent, I should visit Lahore.", 'answer': 'Lahore', 'candidate': 'Tashkent'}
{'statement': "I'm looking for a big city to visit. Between Beijing and Hobart, I should visit Beijing.", 'answer': 'Beijing', 'candidate': 'Hobart'}
{'statement': "I'm looking for a big city to visit. Between Alexandria and Tampa, I should visit Alexandria.", 'answer': 'Alexandria', 'candidate': 'Tampa'}
{'statement': "I'm looking for a big city to visit. Between Luanda and Tripoli, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Tripoli'}
{'statement': "I'm looking for a big city to visit. Between Mexico City and Cayenne, I should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Cayenne'}
{'statement': "I'm looking for a big city to visit. Between Lahore and Conakry, I should visit Lahore.", 'answer': 'Lahore', 'candidate': 'Conakry'}
{'statement': "I'm looking for a big city to visit. Between Sydney and La Ceiba, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'La Ceiba'}
{'statement': "I'm looking for a big city to visit. Between Mexico City and Conakry, I should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Conakry'}
{'statement': "I'm looking for a big city to visit. Between Riyadh and Ouahigouya, I should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Ouahigouya'}
{'statement': "I'm looking for a big city to visit. Between Kuwait City and Murmansk, I should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Murmansk'}
{'statement': "I'm looking for a big city to visit. Between Cairo and Toluca, I should visit Cairo.", 'answer': 'Cairo', 'candidate': 'Toluca'}
{'statement': "I'm looking for a big city to visit. Between Baghdad and Conakry, I should visit Baghdad.", 'answer': 'Baghdad', 'candidate': 'Conakry'}
{'statement': "I'm looking for a big city to visit. Between Surabaya and Thiès, I should visit Surabaya.", 'answer': 'Surabaya', 'candidate': 'Thiès'}
{'statement': "I'm looking for a big city to visit. Between Paris and Nairobi, I should visit Paris.", 'answer': 'Paris', 'candidate': 'Nairobi'}
{'statement': "I'm looking for a big city to visit. Between Kunming and Djibouti, I should visit Kunming.", 'answer': 'Kunming', 'candidate': 'Djibouti'}
{'statement': "I'm looking for a big city to visit. Between Medellín and Sucre, I should visit Medellín.", 'answer': 'Medellín', 'candidate': 'Sucre'}
{'statement': "I'm looking for a big city to visit. Between Melbourne and Mexicali, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Mexicali'}
{'statement': "I'm looking for a big city to visit. Between Sydney and Tirana, I should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Tirana'}
{'statement': "I'm looking for a big city to visit. Between Manila and Nouakchott, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Nouakchott'}
{'statement': "I'm looking for a big city to visit. Between Monterrey and Erbil, I should visit Monterrey.", 'answer': 'Monterrey', 'candidate': 'Erbil'}
{'statement': "I'm looking for a big city to visit. Between Chicago and Honolulu, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Honolulu'}
{'statement': "I'm looking for a big city to visit. Between Santiago and Djibouti, I should visit Santiago.", 'answer': 'Santiago', 'candidate': 'Djibouti'}
{'statement': "I'm looking for a big city to visit. Between Lagos and Oslo, I should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Oslo'}
{'statement': "I'm looking for a big city to visit. Between Dar es Salaam and Kabul, I should visit Dar es Salaam.", 'answer': 'Dar es Salaam', 'candidate': 'Kabul'}
{'statement': "I'm looking for a big city to visit. Between Manila and Caracas, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Caracas'}
{'statement': "I'm looking for a big city to visit. Between Phoenix and Honolulu, I should visit Phoenix.", 'answer': 'Phoenix', 'candidate': 'Honolulu'}
{'statement': "I'm looking for a big city to visit. Between Karachi and Bangui, I should visit Karachi.", 'answer': 'Karachi', 'candidate': 'Bangui'}
{'statement': "I'm looking for a big city to visit. Between Manila and Oslo, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Oslo'}
{'statement': "I'm looking for a big city to visit. Between Manila and Rabat, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Rabat'}
{'statement': "I'm looking for a big city to visit. Between Jakarta and Milwaukee, I should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Milwaukee'}
{'statement': "I'm looking for a big city to visit. Between Chicago and Curitiba, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Curitiba'}
{'statement': "I'm looking for a big city to visit. Between Toronto and Lusaka, I should visit Toronto.", 'answer': 'Toronto', 'candidate': 'Lusaka'}
{'statement': "I'm looking for a big city to visit. Between Chicago and Malabo, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': "I'm looking for a big city to visit. Between Buenos Aires and Chicago, I should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Chicago'}
