{'statement': 'You are looking for a big city to visit. Between Chicago and Mandalay, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Mandalay'}
{'statement': 'You are looking for a big city to visit. Between Moscow and Minneapolis, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a big city to visit. Between Manila and Hamilton, you should visit Manila.', 'answer': 'Manila', 'candidate': 'Hamilton'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Yinchuan, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Yinchuan'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Goiânia, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Goiânia'}
{'statement': 'You are looking for a big city to visit. Between Lahore and Belgrade, you should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Ushuaia, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Ushuaia'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Piura, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Piura'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Tauranga, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tauranga'}
{'statement': 'You are looking for a big city to visit. Between Bangkok and Minneapolis, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a big city to visit. Between Berlin and Garoua, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Garoua'}
{'statement': 'You are looking for a big city to visit. Between Johannesburg and Suwałki, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Toliara, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Toliara'}
{'statement': 'You are looking for a big city to visit. Between Johannesburg and Kampala, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kampala'}
{'statement': 'You are looking for a big city to visit. Between Baghdad and Gabès, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Gabès'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Lake Havasu City, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lake Havasu City'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Algiers, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Algiers'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Makurdi, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Denver, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Denver'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Sapporo, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Sapporo'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Tampa, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Tampa'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Toronto, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Toronto'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Omaha, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Omaha'}
{'statement': 'You are looking for a big city to visit. Between Alexandria and Makassar, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Makassar'}
{'statement': 'You are looking for a big city to visit. Between Douala and Boise, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Boise'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Tamanrasset, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tamanrasset'}
{'statement': 'You are looking for a big city to visit. Between Lahore and Valencia, you should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Valencia'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Napier, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Napier'}
{'statement': 'You are looking for a big city to visit. Between Moscow and Houston, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Houston'}
{'statement': 'You are looking for a big city to visit. Between Perth and Palmerston North, you should visit Perth.', 'answer': 'Perth', 'candidate': 'Palmerston North'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Tauranga, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Tauranga'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Piura, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Piura'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Port-Gentil, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
