{'statement': 'Between Addis Ababa and Cotonou, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': 'Between Chicago and Baku, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': 'Between Medellín and Garoua, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': 'Between Perth and Suwałki, the city with a larger population is Perth.', 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': 'Between Los Angeles and Lomé, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': 'Between Houston and Bishkek, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': 'Between Paris and Cape Town, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': 'Between Melbourne and Ouahigouya, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': 'Between Guadalajara and Kuopio, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': 'Between Nairobi and Pretoria, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': 'Between London and Bujumbura, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': 'Between Saint Petersburg and Novosibirsk, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': 'Between Luanda and Podgorica, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': 'Between Shanghai and Belgrade, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': 'Between Houston and Ouahigouya, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': 'Between Fukuoka and Nouadhibou, the city with a larger population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'Between Sydney and Garoua, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': 'Between Kabul and Garissa, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': 'Between Mexico City and Changsha, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Changsha'}
