{'statement': 'Between Tampa and Anchorage, the city with lower average temperature is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Between Auckland and Bamako, the city with lower average temperature is Auckland.', 'answer': 'Auckland', 'candidate': 'Bamako'}
{'statement': 'Between Luanda and Suwałki, the city with lower average temperature is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Between Sucre and Pontianak, the city with lower average temperature is Sucre.', 'answer': 'Sucre', 'candidate': 'Pontianak'}
{'statement': 'Between Mahajanga and Bergen, the city with lower average temperature is Bergen.', 'answer': 'Bergen', 'candidate': 'Mahajanga'}
{'statement': 'Between Frankfurt and Barranquilla, the city with lower average temperature is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Barranquilla'}
{'statement': 'Between Lyon and Pontianak, the city with lower average temperature is Lyon.', 'answer': 'Lyon', 'candidate': 'Pontianak'}
{'statement': 'Between Port Sudan and Vladivostok, the city with lower average temperature is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Port Sudan'}
{'statement': 'Between Kansas City and Managua, the city with lower average temperature is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Managua'}
{'statement': 'Between Belgrade and Managua, the city with lower average temperature is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Managua'}
{'statement': 'Between Hanoi and Reykjavík, the city with lower average temperature is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Hanoi'}
{'statement': 'Between Maputo and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Maputo'}
{'statement': 'Between Bogotá and Suva, the city with lower average temperature is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Suva'}
{'statement': 'Between Mendoza and Ottawa, the city with lower average temperature is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Mendoza'}
{'statement': 'Between Paris and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Paris'}
{'statement': 'Between London and Makurdi, the city with lower average temperature is London.', 'answer': 'London', 'candidate': 'Makurdi'}
{'statement': 'Between Irkutsk and Bishkek, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bishkek'}
{'statement': 'Between Mexico City and Panama City, the city with lower average temperature is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Panama City'}
{'statement': 'Between Addis Ababa and Port Moresby, the city with lower average temperature is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Port Moresby'}
