{'statement': 'Someone is looking for a city with cold weather. Between Mahajanga and Bahía Blanca, this person should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between La Paz and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a city with cold weather. Between Kano and Cape Town, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a city with cold weather. Between Ho Chi Minh City and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a city with cold weather. Between Kuwait City and Bergen, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a city with cold weather. Between Rosario and Oslo, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Rosario'}
{'statement': 'Someone is looking for a city with cold weather. Between Honolulu and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a city with cold weather. Between Hamilton and Calgary, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Hamilton'}
{'statement': 'Someone is looking for a city with cold weather. Between Kingston and Pittsburgh, this person should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Kingston'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Surabaya and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a city with cold weather. Between Brasília and Calgary, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'San Juan'}
