{'statement': 'You are looking for a small city to visit. Between Guangzhou and Antofagasta, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Tashkent and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Tashkent'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Porto Alegre, you should visit Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Guadalajara and Lhasa, you should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Upington, you should visit Upington.', 'answer': 'Upington', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Fukuoka and Ségou, you should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a small city to visit. Between Los Angeles and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Harare and Entebbe, you should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Harare'}
{'statement': 'You are looking for a small city to visit. Between Kabul and Lviv, you should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Kuwait City and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Changsha, you should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Pretoria, you should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Manila and Toamasina, you should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Antofagasta, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Amsterdam, you should visit Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Kabul and Upington, you should visit Upington.', 'answer': 'Upington', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Rome and Belize City, you should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Rome'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Thiès, you should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Santiago'}
