{'statement': 'Someone is looking for a city with cold weather. Between Aden and Milan, this person should visit Milan.', 'answer': 'Milan', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Juba and Calgary, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a city with cold weather. Between San Antonio and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'San Antonio'}
{'statement': 'Someone is looking for a city with cold weather. Between Aden and Perth, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a city with cold weather. Between La Ceiba and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a city with cold weather. Between Manila and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Sapporo and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a city with cold weather. Between La Ceiba and Amsterdam, this person should visit Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a city with cold weather. Between Tampa and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a city with cold weather. Between Denpasar and Hobart, this person should visit Hobart.', 'answer': 'Hobart', 'candidate': 'Denpasar'}
{'statement': 'Someone is looking for a city with cold weather. Between Campos do Jordão and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Campos do Jordão'}
{'statement': 'Someone is looking for a city with cold weather. Between Paramaribo and Addis Ababa, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a city with cold weather. Between Toamasina and Yerevan, this person should visit Yerevan.', 'answer': 'Yerevan', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a city with cold weather. Between Kano and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a city with cold weather. Between Kingston and Novosibirsk, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Kingston'}
{'statement': 'Someone is looking for a city with cold weather. Between Makurdi and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Makurdi'}
