{'statement': "I don't like expensive restaurants. Between Nook and Thompson Rooftop, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between LCBO and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Juice & Java Cafe and Cake Opera, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Hina Sushi and Mysteriously Yours Dinner Theatre, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between LCBO and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Supermodel Pizza and Lebanese Bakery, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like expensive restaurants. Between Madras Pantry and Chipotle Mexican Grill, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between FreshCo and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'FreshCo'}
{'statement': "I don't like expensive restaurants. Between Piper's Pub And Grill and Dinah's Cupboard, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Top Sushi and Maurya East Indian Roti, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like expensive restaurants. Between La Pupusa Loka and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like expensive restaurants. Between Hapa Toronto and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Topham Corner, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Topham Corner'}
{'statement': "I don't like expensive restaurants. Between Just Soups Take Out & Catering and Itamae Ayce Sushi, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like expensive restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like expensive restaurants. Between Domino's Pizza and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Domino's Pizza"}
{'statement': "I don't like expensive restaurants. Between Dinah's Cupboard and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and Kim PO Vietnamese, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like expensive restaurants. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like expensive restaurants. Between Nook and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Nook'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Falafel Hut Village and Hapa Toronto, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Edible Arrangements, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Marcello’s pizzeria and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like expensive restaurants. Between 9 Restaurant and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': '9 Restaurant'}
{'statement': "I don't like expensive restaurants. Between Big Al's Diner and Popeyes Louisiana Kitchen, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like expensive restaurants. Between Mirage Grill & Lounge and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between Beryl's Pepper Pot and Nutella Cafe by Pusateri's, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Bao Bao Plus Dim Sum and Edible Arrangements, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Phil's Original BBQ and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like expensive restaurants. Between Ciao Europa wine bar and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I don't like expensive restaurants. Between Tortería San Cosme and Tim Hortons, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Tortería San Cosme'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Grappa Ristorante'}
