{'statement': 'You are looking for a small city to visit. Between Moscow and Dublin, you should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Palmerston North, you should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Lahore and La Paz, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Lahore and Tashkent, you should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Beijing and Hobart, you should visit Hobart.', 'answer': 'Hobart', 'candidate': 'Beijing'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Tampa, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Luanda and Tripoli, you should visit Tripoli.', 'answer': 'Tripoli', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Mexico City and Cayenne, you should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Lahore and Conakry, you should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Sydney and La Ceiba, you should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Sydney'}
{'statement': 'You are looking for a small city to visit. Between Mexico City and Conakry, you should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Ouahigouya, you should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Kuwait City and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a small city to visit. Between Cairo and Toluca, you should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Baghdad and Conakry, you should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Thiès, you should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Paris and Nairobi, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Kunming and Djibouti, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kunming'}
{'statement': 'You are looking for a small city to visit. Between Medellín and Sucre, you should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Medellín'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Mexicali, you should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Melbourne'}
