{'statement': 'Between Guadalajara and Kansas City, the smaller city is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Guadalajara'}
{'statement': 'Between Guadalajara and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guadalajara'}
{'statement': 'Between Toronto and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Toronto'}
{'statement': 'Between Bangkok and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Between Mumbai and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Mumbai'}
{'statement': 'Between Shanghai and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Shanghai'}
{'statement': 'Between Bogotá and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Bogotá'}
{'statement': 'Between Brasília and Campos do Jordão, the smaller city is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Brasília'}
{'statement': 'Between Hanoi and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Hanoi'}
{'statement': 'Between Moscow and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Moscow'}
{'statement': 'Between Denver and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Denver'}
{'statement': 'Between Chicago and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'Between Alexandria and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Alexandria'}
{'statement': 'Between Guangzhou and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Guangzhou'}
{'statement': 'Between Los Angeles and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Los Angeles'}
{'statement': 'Between Denver and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Denver'}
{'statement': 'Between Lahore and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Lahore'}
{'statement': 'Between Monterrey and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Monterrey'}
{'statement': 'Between Guangzhou and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'Between Buenos Aires and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Buenos Aires'}
