{'statement': 'You are looking for a big city to visit. Between Bogotá and Córdoba, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Córdoba'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Palembang, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Palembang'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Podgorica, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a big city to visit. Between Bangui and Beijing, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Bangui'}
{'statement': 'You are looking for a big city to visit. Between Port Sudan and Toronto, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Port Sudan'}
{'statement': 'You are looking for a big city to visit. Between Harare and Dar es Salaam, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Harare'}
{'statement': 'You are looking for a big city to visit. Between Caracas and Ankara, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Caracas'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Malabo, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Malabo'}
{'statement': 'You are looking for a big city to visit. Between Ankara and Bucharest, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Bucharest'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Reykjavík, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'You are looking for a big city to visit. Between Albuquerque and Kuwait City, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Albuquerque'}
{'statement': 'You are looking for a big city to visit. Between Ürümqi and Tabora, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tabora'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and San José, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'San José'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Beijing, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Kabul'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Phnom Penh, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Phnom Penh'}
{'statement': 'You are looking for a big city to visit. Between Sucre and Bangkok, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Sucre'}
{'statement': 'You are looking for a big city to visit. Between Fukuoka and Jakarta, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a big city to visit. Between Antofagasta and Lima, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Antofagasta'}
{'statement': 'You are looking for a big city to visit. Between Phoenix and Thiès, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Thiès'}
{'statement': 'You are looking for a big city to visit. Between Parakou and Mexico City, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Parakou'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Cairo, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Ho Chi Minh City'}
