{'statement': "I don't like expensive restaurants. Between Sizzlers and Mt Everest Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Mirage Grill & Lounge and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between Druxy's Famous Deli and Lebanese Bakery, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Lebanese Bakery'}
{'statement': "I don't like expensive restaurants. Between Fitness Avenue and 9 Restaurant, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': '9 Restaurant'}
{'statement': "I don't like expensive restaurants. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Shawarma Twist and Farmacia Health Bar, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Pho 88 and Taste of Greek Cuisine, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Thompson Rooftop, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Sizzlers and Anatolia Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like expensive restaurants. Between Solero Mediterranean Bakery and Harry's Char Broil & Dining Lounge, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Pasta Pantry and Ici Bistro, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Branca and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Green Room and Mövenpick Café, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like expensive restaurants. Between Big Al's Diner and Basha Middle Eastern Grill, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like expensive restaurants. Between Just Soups Take Out & Catering and Phil's Original BBQ, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Phil's Original BBQ, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like expensive restaurants. Between Cantine Bar & Grill and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and La Pupusa Loka, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like expensive restaurants. Between Smoke's Weinerie and Joe Badali's Ristorante Italiano & Bar, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like expensive restaurants. Between Mi Mi Restaurant and Freshii, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Freshii'}
{'statement': "I don't like expensive restaurants. Between EJ Sushi and Edible Arrangements, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Green Room and Kibo Sushi House, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like expensive restaurants. Between Falafel Hut Village and Taste of Greek Cuisine, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Tik Talk Cafe and Pho 88, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like expensive restaurants. Between Kairali - Taste of Kerala and Branca, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Branca'}
