{'statement': 'Between Darwin and Fukuoka, the city with higher average temperature is Darwin.', 'answer': 'Darwin', 'candidate': 'Fukuoka'}
{'statement': 'Between Viedma and Saskatoon, the city with higher average temperature is Viedma.', 'answer': 'Viedma', 'candidate': 'Saskatoon'}
{'statement': 'Between Napier and Kuopio, the city with higher average temperature is Napier.', 'answer': 'Napier', 'candidate': 'Kuopio'}
{'statement': 'Between Panama City and Mendoza, the city with higher average temperature is Panama City.', 'answer': 'Panama City', 'candidate': 'Mendoza'}
{'statement': 'Between San Juan and Sacramento, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Sacramento'}
{'statement': 'Between Phnom Penh and Napier, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Napier'}
{'statement': 'Between Cabo San Lucas and Saint Petersburg, the city with higher average temperature is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Abéché and Los Angeles, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Los Angeles'}
{'statement': 'Between Perth and Anchorage, the city with higher average temperature is Perth.', 'answer': 'Perth', 'candidate': 'Anchorage'}
{'statement': 'Between Kuwait City and Indianapolis, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Indianapolis'}
{'statement': 'Between Caracas and Kuopio, the city with higher average temperature is Caracas.', 'answer': 'Caracas', 'candidate': 'Kuopio'}
{'statement': 'Between Hanoi and Wellington, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Wellington'}
{'statement': 'Between Pretoria and Minneapolis, the city with higher average temperature is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Minneapolis'}
{'statement': 'Between Barranquilla and Calgary, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Calgary'}
{'statement': 'Between Piura and Brussels, the city with higher average temperature is Piura.', 'answer': 'Piura', 'candidate': 'Brussels'}
{'statement': 'Between Karachi and Melbourne, the city with higher average temperature is Karachi.', 'answer': 'Karachi', 'candidate': 'Melbourne'}
{'statement': 'Between Yaoundé and Minsk, the city with higher average temperature is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Minsk'}
{'statement': 'Between Mumbai and Lyon, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Lyon'}
{'statement': 'Between Hat Yai and Belgrade, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Belgrade'}
{'statement': 'Between Garoua and Omaha, the city with higher average temperature is Garoua.', 'answer': 'Garoua', 'candidate': 'Omaha'}
{'statement': 'Between Bangui and Podgorica, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Podgorica'}
{'statement': 'Between Caracas and Ushuaia, the city with higher average temperature is Caracas.', 'answer': 'Caracas', 'candidate': 'Ushuaia'}
{'statement': 'Between Brasília and Zürich, the city with higher average temperature is Brasília.', 'answer': 'Brasília', 'candidate': 'Zürich'}
{'statement': 'Between Douala and Johannesburg, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Johannesburg'}
{'statement': 'Between Paramaribo and Ljubljana, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Ljubljana'}
{'statement': 'Between Pittsburgh and Murmansk, the city with higher average temperature is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Murmansk'}
{'statement': 'Between Nouakchott and Chicago, the city with higher average temperature is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Chicago'}
{'statement': 'Between Neuquén and Reykjavík, the city with higher average temperature is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Reykjavík'}
{'statement': 'Between Ségou and Sacramento, the city with higher average temperature is Ségou.', 'answer': 'Ségou', 'candidate': 'Sacramento'}
{'statement': 'Between Riyadh and Toluca, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Toluca'}
{'statement': 'Between Tucson and Saskatoon, the city with higher average temperature is Tucson.', 'answer': 'Tucson', 'candidate': 'Saskatoon'}
