{'statement': 'Someone is looking for restaurants further away. Between JJ Bean and Sushi Shop, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "Someone is looking for restaurants further away. Between Carole's Cheesecake Cafe and Anatolia Restaurant, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and EJ Sushi, this person should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'Someone is looking for restaurants further away. Between Juice & Java Cafe and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.', 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'Someone is looking for restaurants further away. Between Eastern legend and Juice & Java Cafe, this person should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between Banjara Indian Cuisine and Kim PO Vietnamese, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'Someone is looking for restaurants further away. Between Branca and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "Someone is looking for restaurants further away. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': 'Someone is looking for restaurants further away. Between Freshii and Popeyes Louisiana Kitchen, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'Someone is looking for restaurants further away. Between Shawarma Twist and Breakfast Room, this person should go to Shawarma Twist.', 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
{'statement': "Someone is looking for restaurants further away. Between Mamma's Pizza and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': 'Someone is looking for restaurants further away. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, this person should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'Someone is looking for restaurants further away. Between La Pupusa Loka and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone is looking for restaurants further away. Between Warung Indonesia D'Eglinton and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone is looking for restaurants further away. Between Dangerous Dan's Diner and Tierra Azteca, this person should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Dangerous Dan's Diner"}
