{'statement': 'You are looking for a city with cold weather. Between Abéché and Córdoba, you should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': 'You are looking for a city with cold weather. Between Wau and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': 'You are looking for a city with cold weather. Between Rome and Mumbai, you should visit Rome.', 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a city with cold weather. Between Sydney and Erzurum, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': 'You are looking for a city with cold weather. Between Ulaanbaatar and Chihuahua, you should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Skopje, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Ürümqi and Cayenne, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': 'You are looking for a city with cold weather. Between Bergen and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': 'You are looking for a city with cold weather. Between Oslo and Lima, you should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': 'You are looking for a city with cold weather. Between Abéché and Baku, you should visit Baku.', 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': 'You are looking for a city with cold weather. Between Podgorica and Belize City, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': 'You are looking for a city with cold weather. Between Belize City and Frankfurt, you should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': 'You are looking for a city with cold weather. Between Algiers and Willemstad, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': 'You are looking for a city with cold weather. Between Port Moresby and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': 'You are looking for a city with cold weather. Between Halifax and Bangui, you should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': 'You are looking for a city with cold weather. Between Minsk and Sokoto, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': 'You are looking for a city with cold weather. Between Lake Havasu City and Denver, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': 'You are looking for a city with cold weather. Between Toronto and San Juan, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Cape Town and Malabo, you should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': 'You are looking for a city with cold weather. Between Riyadh and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a city with cold weather. Between Karachi and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': 'You are looking for a city with cold weather. Between Cabo San Lucas and Boise, you should visit Boise.', 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': 'You are looking for a city with cold weather. Between Phnom Penh and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': 'You are looking for a city with cold weather. Between Manila and Ankara, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'You are looking for a city with cold weather. Between Mexico City and Juba, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': 'You are looking for a city with cold weather. Between Campos do Jordão and Niamey, you should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': 'You are looking for a city with cold weather. Between Phoenix and Denver, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a city with cold weather. Between Kingston and Boise, you should visit Boise.', 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': 'You are looking for a city with cold weather. Between Lagos and Calgary, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': 'You are looking for a city with cold weather. Between Bahía Blanca and Erzurum, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Bahía Blanca'}
{'statement': 'You are looking for a city with cold weather. Between Bangkok and Algiers, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Bangkok'}
