{'statement': 'Someone is looking for a city with warm weather. Between Bamako and Dublin, this person should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Dublin'}
{'statement': 'Someone is looking for a city with warm weather. Between Willemstad and Baltimore, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Baltimore'}
{'statement': 'Someone is looking for a city with warm weather. Between Willemstad and Tirana, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tirana'}
{'statement': 'Someone is looking for a city with warm weather. Between Toamasina and Indianapolis, this person should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Pontianak and Zagreb, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a city with warm weather. Between Hat Yai and Skopje, this person should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Skopje'}
{'statement': 'Someone is looking for a city with warm weather. Between Lomé and Lhasa, this person should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Lhasa'}
{'statement': 'Someone is looking for a city with warm weather. Between Muscat and Punta Arenas, this person should visit Muscat.', 'answer': 'Muscat', 'candidate': 'Punta Arenas'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Podgorica, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a city with warm weather. Between Kathmandu and Suwałki, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a city with warm weather. Between Ouahigouya and Saint Petersburg, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Hamilton and Erzurum, this person should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Erzurum'}
{'statement': 'Someone is looking for a city with warm weather. Between Douala and Skopje, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Skopje'}
{'statement': 'Someone is looking for a city with warm weather. Between Antofagasta and Minsk, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Minsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Malabo and Sacramento, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Sacramento'}
{'statement': 'Someone is looking for a city with warm weather. Between Lusaka and Murmansk, this person should visit Lusaka.', 'answer': 'Lusaka', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Sydney and Fairbanks, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a city with warm weather. Between Tampa and Anchorage, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Sudan and Ulaanbaatar, this person should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Ulaanbaatar'}
{'statement': 'Someone is looking for a city with warm weather. Between Toamasina and Chicago, this person should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a city with warm weather. Between Florianópolis and Fairbanks, this person should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Pittsburgh, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Pittsburgh'}
{'statement': 'Someone is looking for a city with warm weather. Between Abéché and Kabul, this person should visit Abéché.', 'answer': 'Abéché', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a city with warm weather. Between Antsiranana and Murmansk, this person should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between La Ceiba and Albuquerque, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Albuquerque'}
{'statement': 'Someone is looking for a city with warm weather. Between Fukuoka and Saskatoon, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between San Antonio and Murmansk, this person should visit San Antonio.', 'answer': 'San Antonio', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangui and Oslo, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Oslo'}
{'statement': 'Someone is looking for a city with warm weather. Between Ouahigouya and Vladivostok, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Honolulu and Toronto, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a city with warm weather. Between Ho Chi Minh City and Punta Arenas, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Punta Arenas'}
{'statement': 'Someone is looking for a city with warm weather. Between Mombasa and Zagreb, this person should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a city with warm weather. Between Makurdi and Bucharest, this person should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Bucharest'}
