{'statement': "You don't like cheap restaurants. Between Basil Express Restaurant and Chick Fiesta, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Juice & Java Cafe and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like cheap restaurants. Between Basha Middle Eastern Grill and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and z-teca Gourmet Burritos, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like cheap restaurants. Between Mi Mi Restaurant and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between McDonald's and EJ Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like cheap restaurants. Between Big Al's Diner and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between McDonald's and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Viccino Pizzeria and Goldstone Noodle Restaurant, you should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between La Cocina De Dona Luz and Falafel Hut Village, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Anatolia Restaurant and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and 9 Restaurant, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and Smoke's Weinerie, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Basha Middle Eastern Grill and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like cheap restaurants. Between Bonne Journee and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between St. Louis Bar & Grill and Madras Pantry, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Mamma's Pizza and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Nook and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Nook and Helena's Magic Kitchen, you should go to Nook.", 'answer': 'Nook', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Big Al's Diner and Marcello’s pizzeria, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and LCBO, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'LCBO'}
{'statement': "You don't like cheap restaurants. Between Lahore Grill & Fast Food and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like cheap restaurants. Between Pizzeria Via Mercanti and Bagel Nash, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bagel Nash'}
