{'statement': 'Between Baghdad and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Baghdad'}
{'statement': 'Between Hanoi and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Hanoi'}
{'statement': 'Between Mumbai and Damascus, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Mumbai'}
{'statement': 'Between Los Angeles and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Los Angeles'}
{'statement': 'Between Toronto and Indianapolis, the smaller city is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toronto'}
{'statement': 'Between Riyadh and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Riyadh'}
{'statement': 'Between Tampa and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Tampa'}
{'statement': 'Between Lagos and Omaha, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Lagos'}
{'statement': 'Between Santiago and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Santiago'}
{'statement': 'Between Guangzhou and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Guangzhou'}
{'statement': 'Between Addis Ababa and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Between Karachi and Damascus, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Karachi'}
{'statement': 'Between Nairobi and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Nairobi'}
{'statement': 'Between Dar es Salaam and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Lahore and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Lahore'}
{'statement': 'Between Karachi and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Karachi'}
{'statement': 'Between Surabaya and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Surabaya'}
{'statement': 'Between Buenos Aires and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'Between Kano and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Kano'}
{'statement': 'Between Lagos and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lagos'}
{'statement': 'Between Brasília and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Brasília'}
{'statement': 'Between Lahore and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Lahore'}
{'statement': 'Between Toronto and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Toronto'}
{'statement': 'Between Ho Chi Minh City and Wellington, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Toronto and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Toronto'}
{'statement': 'Between Tashkent and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Tashkent'}
{'statement': 'Between Jakarta and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Jakarta'}
{'statement': 'Between Moscow and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'Between Denver and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Denver'}
{'statement': 'Between Johannesburg and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Johannesburg'}
{'statement': 'Between Shanghai and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Shanghai'}
{'statement': 'Between Dar es Salaam and Novosibirsk, the smaller city is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ho Chi Minh City and Nairobi, the smaller city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Beijing and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Beijing'}
{'statement': 'Between Lahore and Kingston, the smaller city is Kingston.', 'answer': 'Kingston', 'candidate': 'Lahore'}
{'statement': 'Between Bangkok and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Bangkok'}
{'statement': 'Between Nairobi and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Nairobi'}
{'statement': 'Between Berlin and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Berlin'}
{'statement': 'Between Moscow and Kabul, the smaller city is Kabul.', 'answer': 'Kabul', 'candidate': 'Moscow'}
{'statement': 'Between Chicago and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Chicago'}
{'statement': 'Between Luanda and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Luanda'}
{'statement': 'Between Brisbane and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Brisbane'}
{'statement': 'Between Tampa and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Tampa'}
{'statement': 'Between Surabaya and Addis Ababa, the smaller city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Surabaya'}
{'statement': 'Between Houston and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Houston'}
{'statement': 'Between Kano and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Kano'}
{'statement': 'Between Manila and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Manila'}
{'statement': 'Between Berlin and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Berlin'}
{'statement': 'Between Addis Ababa and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Addis Ababa'}
{'statement': 'Between Jakarta and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Jakarta'}
{'statement': 'Between Denver and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Denver'}
{'statement': 'Between Jakarta and Surabaya, the smaller city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Jakarta'}
{'statement': 'Between Moscow and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Moscow'}
{'statement': 'Between Kuwait City and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Kuwait City'}
{'statement': 'Between Mumbai and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Mumbai'}
{'statement': 'Between Dar es Salaam and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Surabaya and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Surabaya'}
{'statement': 'Between Phnom Penh and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Phnom Penh'}
{'statement': 'Between Mumbai and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Mumbai'}
{'statement': 'Between Beijing and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Beijing'}
{'statement': 'Between Addis Ababa and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Addis Ababa'}
{'statement': 'Between Lagos and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Lagos'}
{'statement': 'Between Guangzhou and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Guangzhou'}
{'statement': 'Between Cairo and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Cairo'}
{'statement': 'Between Denver and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Denver'}
{'statement': 'Between Chicago and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Chicago'}
{'statement': 'Between London and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'London'}
{'statement': 'Between Ankara and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Ankara'}
{'statement': 'Between Dar es Salaam and San Salvador, the smaller city is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Mexico City and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Mexico City'}
{'statement': 'Between Houston and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Houston'}
{'statement': 'Between Beijing and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Beijing'}
{'statement': 'Between Ho Chi Minh City and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Mumbai and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Melbourne'}
{'statement': 'Between Johannesburg and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Johannesburg'}
{'statement': 'Between Monterrey and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Monterrey'}
{'statement': 'Between Harare and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Harare'}
{'statement': 'Between Karachi and Minsk, the smaller city is Minsk.', 'answer': 'Minsk', 'candidate': 'Karachi'}
{'statement': 'Between Los Angeles and Campos do Jordão, the smaller city is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Los Angeles'}
{'statement': 'Between Cairo and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Cairo'}
{'statement': 'Between Paris and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Paris'}
{'statement': 'Between Brisbane and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Brisbane'}
{'statement': 'Between Brasília and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Brasília'}
{'statement': 'Between Baltimore and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Baltimore'}
{'statement': 'Between Monterrey and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Monterrey'}
{'statement': 'Between Surabaya and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Surabaya'}
{'statement': 'Between Rome and Kansas City, the smaller city is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Rome'}
{'statement': 'Between Beijing and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Beijing'}
{'statement': 'Between Lagos and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Lagos'}
{'statement': 'Between Beijing and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Beijing'}
{'statement': 'Between Luanda and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Luanda'}
{'statement': 'Between Toronto and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Toronto'}
{'statement': 'Between Mexico City and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Mexico City'}
{'statement': 'Between Bogotá and Juba, the smaller city is Juba.', 'answer': 'Juba', 'candidate': 'Bogotá'}
{'statement': 'Between Guangzhou and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'Between Ankara and Brasília, the smaller city is Brasília.', 'answer': 'Brasília', 'candidate': 'Ankara'}
{'statement': 'Between London and Benghazi, the smaller city is Benghazi.', 'answer': 'Benghazi', 'candidate': 'London'}
{'statement': 'Between Guadalajara and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Guadalajara'}
{'statement': 'Between Saint Petersburg and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Manila and Bogotá, the smaller city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Manila'}
{'statement': 'Between Dar es Salaam and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Luanda and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Luanda'}
{'statement': 'Between Mexico City and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Mexico City'}
{'statement': 'Between Karachi and Brasília, the smaller city is Brasília.', 'answer': 'Brasília', 'candidate': 'Karachi'}
{'statement': 'Between Mumbai and San Salvador, the smaller city is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Mumbai'}
{'statement': 'Between Karachi and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Karachi'}
{'statement': 'Between Melbourne and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Melbourne'}
{'statement': 'Between Baku and La Serena, the smaller city is La Serena.', 'answer': 'La Serena', 'candidate': 'Baku'}
{'statement': 'Between Riyadh and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Riyadh'}
{'statement': 'Between Karachi and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Karachi'}
{'statement': 'Between Baghdad and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Baghdad'}
{'statement': 'Between Karachi and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Karachi'}
{'statement': 'Between Santiago and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Santiago'}
{'statement': 'Between Baghdad and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Baghdad'}
{'statement': 'Between Guadalajara and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Guadalajara'}
{'statement': 'Between London and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'London'}
{'statement': 'Between Ankara and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Ankara'}
