{'statement': 'Someone is looking for a city with cold weather. Between Anchorage and Tampa, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a city with cold weather. Between Auckland and Bamako, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a city with cold weather. Between Luanda and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a city with cold weather. Between Pontianak and Sucre, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Bergen and Mahajanga, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Frankfurt and Barranquilla, this person should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Pontianak and Lyon, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Sudan and Vladivostok, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a city with cold weather. Between Kansas City and Managua, this person should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a city with cold weather. Between Managua and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a city with cold weather. Between Hanoi and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Ushuaia and Maputo, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Maputo'}
{'statement': 'Someone is looking for a city with cold weather. Between Bogotá and Suva, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Ottawa and Mendoza, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a city with cold weather. Between Paris and Ulaanbaatar, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a city with cold weather. Between Makurdi and London, this person should visit London.', 'answer': 'London', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a city with cold weather. Between Irkutsk and Bishkek, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bishkek'}
{'statement': 'Someone is looking for a city with cold weather. Between Panama City and Mexico City, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a city with cold weather. Between Addis Ababa and Port Moresby, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Port Moresby'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Harare, this person should visit Harare.', 'answer': 'Harare', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Oslo and Riyadh, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a city with cold weather. Between Medellín and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a city with cold weather. Between Milan and Antsiranana, this person should visit Milan.', 'answer': 'Milan', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Asmara and Bangkok, this person should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a city with cold weather. Between Pittsburgh and Entebbe, this person should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Entebbe'}
{'statement': 'Someone is looking for a city with cold weather. Between Reykjavík and Buenos Aires, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a city with cold weather. Between Curitiba and Willemstad, this person should visit Curitiba.', 'answer': 'Curitiba', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Anchorage and Changsha, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a city with cold weather. Between Vladivostok and Auckland, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Auckland'}
{'statement': 'Someone is looking for a city with cold weather. Between Bratislava and Manaus, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Manaus'}
{'statement': 'Someone is looking for a city with cold weather. Between Toluca and Mahajanga, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Shanghai, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Paramaribo and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a city with cold weather. Between Sapporo and Dodoma, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a city with cold weather. Between Ségou and La Serena, this person should visit La Serena.', 'answer': 'La Serena', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a city with cold weather. Between Conakry and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Conakry'}
{'statement': 'Someone is looking for a city with cold weather. Between Baku and Phnom Penh, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Dublin, this person should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Vladivostok and Mendoza, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a city with cold weather. Between Suva and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Denpasar and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Denpasar'}
{'statement': 'Someone is looking for a city with cold weather. Between Yinchuan and Manila, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Lyon and La Ceiba, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a city with cold weather. Between Ottawa and Mombasa, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between Erzurum and Rome, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Rome'}
{'statement': 'Someone is looking for a city with cold weather. Between San José and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'San José'}
{'statement': 'Someone is looking for a city with cold weather. Between Yakutsk and Ouahigouya, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a city with cold weather. Between Ürümqi and Hanoi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Cotonou and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a city with cold weather. Between Ankara and Bata, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Bata'}
{'statement': 'Someone is looking for a city with cold weather. Between Makurdi and Bogotá, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a city with cold weather. Between Luanda and Ottawa, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a city with cold weather. Between Kabul and Ho Chi Minh City, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a city with cold weather. Between Irkutsk and Belize City, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between Boise and Lake Havasu City, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Beijing, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Valencia and Ottawa, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Valencia'}
{'statement': 'Someone is looking for a city with cold weather. Between Manila and Kansas City, this person should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Douala'}
