{'statement': 'Between Barranquilla and Sacramento, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sacramento'}
{'statement': 'Between Suva and Minneapolis, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'Between Port Sudan and Buenos Aires, the city with higher average temperature is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Buenos Aires'}
{'statement': 'Between Wau and Bratislava, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Bratislava'}
{'statement': 'Between Ho Chi Minh City and Ushuaia, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Ushuaia'}
{'statement': 'Between Managua and Napier, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Napier'}
{'statement': 'Between Bamako and Milwaukee, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Milwaukee'}
{'statement': 'Between Shanghai and Ottawa, the city with higher average temperature is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Ottawa'}
{'statement': 'Between Willemstad and Vienna, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Vienna'}
{'statement': 'Between Bujumbura and Ljubljana, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Ljubljana'}
{'statement': 'Between Guangzhou and Almaty, the city with higher average temperature is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Almaty'}
{'statement': 'Between Porto Alegre and Copenhagen, the city with higher average temperature is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Copenhagen'}
{'statement': 'Between Luanda and Ürümqi, the city with higher average temperature is Luanda.', 'answer': 'Luanda', 'candidate': 'Ürümqi'}
{'statement': 'Between San Juan and Addis Ababa, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Addis Ababa'}
{'statement': 'Between Valencia and Saint Petersburg, the city with higher average temperature is Valencia.', 'answer': 'Valencia', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Wau and Anchorage, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Anchorage'}
