{'statement': "You don't like the restaurants nearby. Between Mi Mi Restaurant and Sushi Shop, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between The Empire and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'The Empire'}
{'statement': "You don't like the restaurants nearby. Between Milo's Pita and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "You don't like the restaurants nearby. Between z-teca Gourmet Burritos and Solero Mediterranean Bakery, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like the restaurants nearby. Between Ardor Bistro and Green Grotto, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "You don't like the restaurants nearby. Between Tian An Cuisine and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like the restaurants nearby. Between El Fogón and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between Galata Cafe and Goldstone Noodle Restaurant, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Druxy's Famous Deli and Madras Pantry, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between Green Grotto and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Green Grotto'}
{'statement': "You don't like the restaurants nearby. Between Evoo Ristorante and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Watson's and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Watson's"}
{'statement': "You don't like the restaurants nearby. Between Bagel Nash and Tik Talk Cafe, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between Ardor Bistro and Mamma's Pizza, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like the restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Sushi World'}
{'statement': "You don't like the restaurants nearby. Between Kairali - Taste of Kerala and Tierra Azteca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Modo Mio Italian Bistro and Basil Express Restaurant, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between KFC and Bagel Nash, you should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'KFC'}
{'statement': "You don't like the restaurants nearby. Between Cake Opera and Tortería San Cosme, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Tortería San Cosme'}
{'statement': "You don't like the restaurants nearby. Between Carole's Cheesecake Cafe and Fit For Life, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Fit For Life'}
