{'statement': "I'm looking for an affordable restaurant. Between Branca and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Sweet Jesus and The Duke of Devon, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for an affordable restaurant. Between Verona Restaurant and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Eastern legend and Hawthorne Food and Drink, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I'm looking for an affordable restaurant. Between Eggspectation and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for an affordable restaurant. Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Watson's and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Watson's"}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and It's All Grk, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "It's All Grk"}
{'statement': "I'm looking for an affordable restaurant. Between Milo's Pita and Roncy's Bean, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for an affordable restaurant. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Bagel Nash and Hina Sushi, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Anatolia Restaurant and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Kairali - Taste of Kerala and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for an affordable restaurant. Between Pisco 1641 and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for an affordable restaurant. Between Itamae Ayce Sushi and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Falafel House and Mysteriously Yours Dinner Theatre, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for an affordable restaurant. Between Carole's Cheesecake Cafe and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an affordable restaurant. Between Bonne Journee and Verona Restaurant, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Amaya Express and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for an affordable restaurant. Between Delicious Paradise Kitchen and Thompson Rooftop, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for an affordable restaurant. Between Domino's Pizza and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for an affordable restaurant. Between La Pupusa Loka and Thompson Rooftop, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for an affordable restaurant. Between Modo Mio Italian Bistro and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Smoke's Weinerie and Tierra Azteca, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for an affordable restaurant. Between The Duke of Devon and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'The Duke of Devon'}
{'statement': "I'm looking for an affordable restaurant. Between Falafel House and Nutella Cafe by Pusateri's, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Galata Cafe and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Galata Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Ici Bistro and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Sizzlers and Nook, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Nook'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Sushi Time Japanese Restaurant, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Tian An Cuisine and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Hina Sushi, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Smoke's Weinerie and To-ne Sushi, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'To-ne Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between El Fogón and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'El Fogón'}
{'statement': "I'm looking for an affordable restaurant. Between Dinah's Cupboard and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for an affordable restaurant. Between La Cocina De Dona Luz and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I'm looking for an affordable restaurant. Between Marcello’s pizzeria and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Ici Bistro and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Cafe Jules and Juice & Java Cafe, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an affordable restaurant. Between Taste of Greek Cuisine and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Chick Fiesta and Eggspectation, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for an affordable restaurant. Between Green Room and Dangerous Dan's Diner, I should go to Green Room.", 'answer': 'Green Room', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for an affordable restaurant. Between JJ Bean and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for an affordable restaurant. Between Bake Island and Capitol Trattoria Pizzeria, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Pisco 1641 and Nutella Cafe by Pusateri's, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Evoo Ristorante and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for an affordable restaurant. Between Hapa Toronto and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for an affordable restaurant. Between Grappa Ristorante and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Topham Corner, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for an affordable restaurant. Between Mt Everest Restaurant and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Milo's Pita and Le Papillon Park, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for an affordable restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an affordable restaurant. Between Bagel Nash and Oxygen Restaurant & Lounge, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Juice & Java Cafe and Verona Restaurant, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Villa Madina and Hina Sushi, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Nook and Grappa Ristorante, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Basil Express Restaurant and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between New Bilan Restaurant and Dangerous Dan's Diner, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for an affordable restaurant. Between Modo Mio Italian Bistro and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Eastern legend and Cantine Bar & Grill, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an affordable restaurant. Between St. Louis Bar & Grill and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for an affordable restaurant. Between McDonald's and Harry's Char Broil & Dining Lounge, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an affordable restaurant. Between Marcello’s pizzeria and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Amaya Express and Ici Bistro, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Ici Bistro and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Capitol Trattoria Pizzeria and Oxygen Restaurant & Lounge, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Kim PO Vietnamese and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for an affordable restaurant. Between Assembly Chef's Hall and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for an affordable restaurant. Between Pisco 1641 and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for an affordable restaurant. Between Capitol Trattoria Pizzeria and Sichuan Landscape Chinese Restaurant, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and Harvey's, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Harvey's"}
{'statement': "I'm looking for an affordable restaurant. Between z-teca Gourmet Burritos and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for an affordable restaurant. Between Aris Place and Freshii, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Freshii'}
{'statement': "I'm looking for an affordable restaurant. Between FreshCo and Branca, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Evoo Ristorante and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between 9 Restaurant and Cake Opera, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for an affordable restaurant. Between EJ Sushi and Top Sushi, I should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Verona Restaurant, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Shawarma Twist and FreshCo, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'FreshCo'}
{'statement': "I'm looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Mysteriously Yours Dinner Theatre'}
