{'statement': 'Someone is looking for restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between The Empire and Cafe Jules, this person should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Cafe Jules'}
{'statement': "Someone is looking for restaurants nearby. Between Milo's Pita and Roncy's Bean, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': 'Someone is looking for restaurants nearby. Between Solero Mediterranean Bakery and z-teca Gourmet Burritos, this person should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between Ardor Bistro and Green Grotto, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Tian An Cuisine, this person should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'Someone is looking for restaurants nearby. Between El Fogón and JJ Bean, this person should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'JJ Bean'}
{'statement': 'Someone is looking for restaurants nearby. Between Galata Cafe and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "Someone is looking for restaurants nearby. Between Madras Pantry and Druxy's Famous Deli, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for restaurants nearby. Between Green Grotto and Anatolia Restaurant, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Anatolia Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Evoo Ristorante and Aroma Espresso Bar, this person should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Aroma Espresso Bar'}
