{'statement': 'Someone is looking for restaurants nearby. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "Someone is looking for restaurants nearby. Between Carole's Cheesecake Cafe and Anatolia Restaurant, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone is looking for restaurants nearby. Between EJ Sushi and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Hawthorne Food and Drink and Juice & Java Cafe, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': 'Someone is looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for restaurants nearby. Between Eastern legend and Juice & Java Cafe, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': 'Someone is looking for restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Branca, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'Someone is looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Freshii, this person should go to Popeyes Louisiana Kitchen.', 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
