{'statement': "Someone doesn't like cheap restaurants. Between Branca and Piper's Pub And Grill, this person should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and The Duke of Devon, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and The Empire, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Eastern legend and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Eggspectation and Solero Mediterranean Bakery, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like cheap restaurants. Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Watson's and St. Clair Shawarma and Falafel, this person should go to Watson's.", 'answer': "Watson's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between It's All Grk and Supermodel Pizza, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Bagel Nash and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Anatolia Restaurant and McDonald's, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "McDonald's"}
