{'statement': 'Between Córdoba and Bogotá, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Bogotá'}
{'statement': 'Between Lagos and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Lagos'}
{'statement': 'Between Kabul and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Kabul'}
{'statement': 'Between Beijing and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Beijing'}
{'statement': 'Between Toronto and Port Sudan, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Toronto'}
{'statement': 'Between Harare and Dar es Salaam, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ankara and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Ankara'}
{'statement': 'Between Kabul and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Kabul'}
{'statement': 'Between Bucharest and Ankara, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Ankara'}
{'statement': 'Between Reykjavík and Buenos Aires, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Buenos Aires'}
{'statement': 'Between Kuwait City and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kuwait City'}
{'statement': 'Between Tabora and Ürümqi, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'Between San José and Minneapolis, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Minneapolis'}
{'statement': 'Between Kabul and Beijing, the smaller city is Kabul.', 'answer': 'Kabul', 'candidate': 'Beijing'}
{'statement': 'Between Phnom Penh and Guangzhou, the smaller city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Guangzhou'}
{'statement': 'Between Sucre and Bangkok, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Bangkok'}
{'statement': 'Between Fukuoka and Jakarta, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Jakarta'}
{'statement': 'Between Antofagasta and Lima, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Lima'}
{'statement': 'Between Thiès and Phoenix, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Phoenix'}
{'statement': 'Between Mexico City and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Mexico City'}
{'statement': 'Between Ho Chi Minh City and Cairo, the smaller city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Cairo'}
{'statement': 'Between Dar es Salaam and Minsk, the smaller city is Minsk.', 'answer': 'Minsk', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Tirana and Johannesburg, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Johannesburg'}
{'statement': 'Between Luanda and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Between Managua and Brasília, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Brasília'}
{'statement': 'Between Copenhagen and Nairobi, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Nairobi'}
{'statement': 'Between Monterrey and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Monterrey'}
{'statement': 'Between Surabaya and Bamako, the smaller city is Bamako.', 'answer': 'Bamako', 'candidate': 'Surabaya'}
{'statement': 'Between Ouahigouya and Santiago, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Santiago'}
{'statement': 'Between Kunming and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Kunming'}
{'statement': 'Between Los Angeles and Lomé, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'Between Beijing and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Beijing'}
{'statement': 'Between Omaha and Ürümqi, the smaller city is Omaha.', 'answer': 'Omaha', 'candidate': 'Ürümqi'}
{'statement': 'Between Darwin and Melbourne, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Melbourne'}
{'statement': 'Between Zürich and Kabul, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Kabul'}
