{'statement': 'You are looking for a small city to visit. Between Kabul and Changsha, you should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Berlin and Managua, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Berlin'}
{'statement': 'You are looking for a small city to visit. Between Gabès and Kuwait City, you should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Cayenne, you should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Ürümqi and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a small city to visit. Between Dublin and Paris, you should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Niamey and Algiers, you should visit Niamey.', 'answer': 'Niamey', 'candidate': 'Algiers'}
{'statement': 'You are looking for a small city to visit. Between Lima and Guadalajara, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Lima'}
{'statement': 'You are looking for a small city to visit. Between Cairo and Shanghai, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Honolulu and Guangzhou, you should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Johannesburg, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Chicago and Damascus, you should visit Damascus.', 'answer': 'Damascus', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Ürümqi and Saint Petersburg, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Kuwait City and Denpasar, you should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a small city to visit. Between Brussels and Houston, you should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Mendoza and Hanoi, you should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Viedma and Tampa, you should visit Viedma.', 'answer': 'Viedma', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Port Sudan and Berlin, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Berlin'}
{'statement': 'You are looking for a small city to visit. Between Djibouti and Chicago, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Douala and Shanghai, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Luanda and Berlin, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between La Paz and Melbourne, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Lviv and Manila, you should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Luanda and Barranquilla, you should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Mexicali, you should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Hamilton, you should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Mumbai and Sokoto, you should visit Sokoto.', 'answer': 'Sokoto', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Hobart and Ankara, you should visit Hobart.', 'answer': 'Hobart', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Monterrey and Mumbai, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Djibouti, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Mombasa and Lahore, you should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Bujumbura and Denver, you should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Skopje and Luanda, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Yaoundé, you should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Alexandria'}
