{'statement': 'Someone is looking for a city with cold weather. Between Suva and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Baghdad and Halifax, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a city with cold weather. Between Abéché and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Garoua and Milan, this person should visit Milan.', 'answer': 'Milan', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a city with cold weather. Between Riyadh and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a city with cold weather. Between Lagos and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a city with cold weather. Between Mexicali and Milan, this person should visit Milan.', 'answer': 'Milan', 'candidate': 'Mexicali'}
{'statement': 'Someone is looking for a city with cold weather. Between Mendoza and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Baltimore, this person should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Garissa and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a city with cold weather. Between Pontianak and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Yaoundé and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a city with cold weather. Between Mahajanga and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Ouahigouya and Palmerston North, this person should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a city with cold weather. Between Hat Yai and Brussels, this person should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a city with cold weather. Between Yaoundé and Vladivostok, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a city with cold weather. Between Rangpur and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Rangpur'}
{'statement': 'Someone is looking for a city with cold weather. Between San Salvador and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'San Salvador'}
{'statement': 'Someone is looking for a city with cold weather. Between Nouakchott and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'Someone is looking for a city with cold weather. Between Phoenix and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a city with cold weather. Between Malabo and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a city with cold weather. Between Belize City and Antofagasta, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between La Paz and Hobart, this person should visit Hobart.', 'answer': 'Hobart', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a city with cold weather. Between Palembang and Halifax, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a city with cold weather. Between Lomé and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a city with cold weather. Between Suva and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Antsiranana and Nur-Sultan, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a city with cold weather. Between Mumbai and Nur-Sultan, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Mumbai'}
