{'statement': 'Between Rome and San Juan, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'San Juan'}
{'statement': 'Between Manila and Mahajanga, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Mahajanga'}
{'statement': 'Between Nairobi and Christchurch, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Christchurch'}
{'statement': 'Between Mumbai and Murmansk, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Murmansk'}
{'statement': 'Between Ho Chi Minh City and Piura, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Piura'}
{'statement': 'Between Bogotá and Tabora, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Tabora'}
{'statement': 'Between Algiers and Asmara, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Asmara'}
{'statement': 'Between Jakarta and Tripoli, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Tripoli'}
{'statement': 'Between Beijing and Port Sudan, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Port Sudan'}
{'statement': 'Between Hanoi and Kuwait City, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'Between Bogotá and Lviv, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Lviv'}
{'statement': 'Between Toronto and Goiânia, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Goiânia'}
{'statement': 'Between Santiago and Florianópolis, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Florianópolis'}
{'statement': 'Between Melbourne and Sucre, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Sucre'}
{'statement': 'Between Douala and Port-Gentil, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Port-Gentil'}
{'statement': 'Between Santiago and Dublin, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Dublin'}
{'statement': 'Between Hanoi and Bratislava, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Between Dar es Salaam and Lusaka, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Lusaka'}
{'statement': 'Between Cairo and Mahajanga, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Mahajanga'}
{'statement': 'Between Shanghai and Pretoria, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Pretoria'}
{'statement': 'Between Shanghai and Lisbon, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Lisbon'}
{'statement': 'Between Lagos and Porto Alegre, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Porto Alegre'}
{'statement': 'Between Kuwait City and La Paz, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'La Paz'}
{'statement': 'Between Saint Petersburg and Lyon, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Lyon'}
{'statement': 'Between London and Zagreb, the bigger city is London.', 'answer': 'London', 'candidate': 'Zagreb'}
