{'statement': 'You are looking for a big city to visit. Between Guangzhou and Bujumbura, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bujumbura'}
{'statement': 'You are looking for a big city to visit. Between Yakutsk and Kabul, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a big city to visit. Between Manila and Kunming, you should visit Manila.', 'answer': 'Manila', 'candidate': 'Kunming'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Algiers, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Algiers'}
{'statement': 'You are looking for a big city to visit. Between Mahajanga and Ankara, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Entebbe and Mumbai, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Entebbe'}
{'statement': 'You are looking for a big city to visit. Between Bahía Blanca and Kano, you should visit Kano.', 'answer': 'Kano', 'candidate': 'Bahía Blanca'}
{'statement': 'You are looking for a big city to visit. Between Bucharest and Luanda, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Bucharest'}
{'statement': 'You are looking for a big city to visit. Between Panama City and Paris, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Panama City'}
{'statement': 'You are looking for a big city to visit. Between Surabaya and Buenos Aires, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a big city to visit. Between Calgary and Bangkok, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Calgary'}
{'statement': 'You are looking for a big city to visit. Between Kansas City and Johannesburg, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kansas City'}
{'statement': 'You are looking for a big city to visit. Between Suwałki and Algiers, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a big city to visit. Between Moscow and Toronto, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Toronto'}
{'statement': 'You are looking for a big city to visit. Between Durban and Houston, you should visit Houston.', 'answer': 'Houston', 'candidate': 'Durban'}
