{'statement': 'Between Mumbai and Florianópolis, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Florianópolis'}
{'statement': 'Between Lagos and Auckland, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Auckland'}
{'statement': 'Between Cairo and Garoua, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Garoua'}
{'statement': 'Between Nairobi and Garissa, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Garissa'}
{'statement': 'Between Los Angeles and Denver, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Denver'}
{'statement': 'Between Ankara and Mombasa, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Mombasa'}
{'statement': 'Between Guangzhou and Monterrey, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Monterrey'}
{'statement': 'Between Guadalajara and Florianópolis, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Florianópolis'}
{'statement': 'Between Tampa and La Ceiba, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'La Ceiba'}
{'statement': 'Between Guadalajara and Beirut, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Beirut'}
{'statement': 'Between Paris and Baku, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Baku'}
{'statement': 'Between Tampa and Aden, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Aden'}
{'statement': 'Between Medellín and Saskatoon, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Saskatoon'}
{'statement': 'Between Ankara and Albuquerque, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Albuquerque'}
{'statement': 'Between Tampa and Malabo, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Malabo'}
{'statement': 'Between Beijing and Parakou, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Parakou'}
{'statement': 'Between Yaoundé and Tamanrasset, the bigger city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Tamanrasset'}
{'statement': 'Between Paris and El Paso, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'El Paso'}
{'statement': 'Between Melbourne and Gabès, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Gabès'}
{'statement': 'Between Addis Ababa and Ségou, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ségou'}
{'statement': 'Between Los Angeles and Honolulu, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Honolulu'}
{'statement': 'Between Lima and Fairbanks, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Fairbanks'}
{'statement': 'Between Guadalajara and Ürümqi, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Ürümqi'}
{'statement': 'Between Mumbai and Erbil, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Erbil'}
{'statement': 'Between Johannesburg and Hat Yai, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Hat Yai'}
{'statement': 'Between Algiers and Mandalay, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': 'Between Mumbai and Garissa, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Garissa'}
{'statement': 'Between Los Angeles and Reykjavík, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Reykjavík'}
{'statement': 'Between Ho Chi Minh City and Lisbon, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Lisbon'}
{'statement': 'Between Kuwait City and Zagreb, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Zagreb'}
{'statement': 'Between Melbourne and Lusaka, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lusaka'}
{'statement': 'Between Bangkok and Toliara, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toliara'}
{'statement': 'Between Hanoi and Calgary, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Calgary'}
{'statement': 'Between Guangzhou and Sacramento, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sacramento'}
{'statement': 'Between Mexico City and Makassar, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Makassar'}
{'statement': 'Between Cairo and Córdoba, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Córdoba'}
{'statement': 'Between Santiago and Halifax, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Halifax'}
{'statement': 'Between Shanghai and San Antonio, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'San Antonio'}
{'statement': 'Between Sydney and San José, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'San José'}
{'statement': 'Between Kabul and Ljubljana, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Ljubljana'}
{'statement': 'Between London and Barranquilla, the bigger city is London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'Between Surabaya and Bucharest, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bucharest'}
{'statement': 'Between Ankara and Mahajanga, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'Between Kuwait City and Paramaribo, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Paramaribo'}
{'statement': 'Between Brasília and Bata, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Bata'}
{'statement': 'Between Mumbai and Karachi, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Karachi'}
{'statement': 'Between Rome and Napier, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Napier'}
{'statement': 'Between Guadalajara and Niamey, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Niamey'}
{'statement': 'Between Dar es Salaam and Cabo San Lucas, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Moscow and Fairbanks, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Fairbanks'}
{'statement': 'Between Lagos and Fairbanks, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Fairbanks'}
{'statement': 'Between Tampa and Ushuaia, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Ushuaia'}
{'statement': 'Between London and Guadalajara, the bigger city is London.', 'answer': 'London', 'candidate': 'Guadalajara'}
{'statement': 'Between Lima and Kuopio, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Kuopio'}
{'statement': 'Between Denver and Toamasina, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Toamasina'}
{'statement': 'Between Cairo and Toronto, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Toronto'}
{'statement': 'Between Los Angeles and Fukuoka, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Fukuoka'}
{'statement': 'Between Ürümqi and Panama City, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Panama City'}
{'statement': 'Between Tashkent and Halifax, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Halifax'}
{'statement': 'Between Denver and Suva, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Suva'}
{'statement': 'Between Algiers and Dodoma, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Dodoma'}
{'statement': 'Between Fukuoka and Tabora, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Tabora'}
{'statement': 'Between Moscow and Benghazi, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Benghazi'}
{'statement': 'Between Brasília and Copenhagen, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Copenhagen'}
{'statement': 'Between Denver and Piura, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Piura'}
{'statement': 'Between Ürümqi and Valencia, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Valencia'}
{'statement': 'Between Mumbai and Monterrey, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Monterrey'}
