{'statement': 'Between Muscat and Nur-Sultan, the city with lower average temperature is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Muscat'}
{'statement': 'Between Djibouti and Perth, the city with lower average temperature is Perth.', 'answer': 'Perth', 'candidate': 'Djibouti'}
{'statement': 'Between Jakarta and Sapporo, the city with lower average temperature is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Jakarta'}
{'statement': 'Between Surabaya and Berlin, the city with lower average temperature is Berlin.', 'answer': 'Berlin', 'candidate': 'Surabaya'}
{'statement': 'Between Kathmandu and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Kathmandu'}
{'statement': 'Between Muscat and Fianarantsoa, the city with lower average temperature is Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Muscat'}
{'statement': 'Between Port Moresby and Antofagasta, the city with lower average temperature is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Port Moresby'}
{'statement': 'Between Quito and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Quito'}
{'statement': 'Between Monterrey and Dublin, the city with lower average temperature is Dublin.', 'answer': 'Dublin', 'candidate': 'Monterrey'}
{'statement': 'Between Manaus and Kunming, the city with lower average temperature is Kunming.', 'answer': 'Kunming', 'candidate': 'Manaus'}
{'statement': 'Between Kuwait City and Novosibirsk, the city with lower average temperature is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Kuwait City'}
{'statement': 'Between Willemstad and Murmansk, the city with lower average temperature is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Willemstad'}
{'statement': 'Between Barranquilla and Beijing, the city with lower average temperature is Beijing.', 'answer': 'Beijing', 'candidate': 'Barranquilla'}
{'statement': 'Between Djibouti and Lusaka, the city with lower average temperature is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Djibouti'}
{'statement': 'Between Surabaya and Bergen, the city with lower average temperature is Bergen.', 'answer': 'Bergen', 'candidate': 'Surabaya'}
{'statement': 'Between Melbourne and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Melbourne'}
{'statement': 'Between Córdoba and Oslo, the city with lower average temperature is Oslo.', 'answer': 'Oslo', 'candidate': 'Córdoba'}
{'statement': 'Between Parakou and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Parakou'}
{'statement': 'Between Juba and Ottawa, the city with lower average temperature is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Juba'}
{'statement': 'Between Phnom Penh and Antofagasta, the city with lower average temperature is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Phnom Penh'}
{'statement': 'Between Baghdad and Vienna, the city with lower average temperature is Vienna.', 'answer': 'Vienna', 'candidate': 'Baghdad'}
{'statement': 'Between La Paz and Minneapolis, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'La Paz'}
{'statement': 'Between Bogotá and Fairbanks, the city with lower average temperature is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bogotá'}
{'statement': 'Between Djibouti and Baltimore, the city with lower average temperature is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Djibouti'}
