{'statement': 'You are looking for a city with cold weather. Between Cotonou and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Ljubljana, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Skopje and Lake Havasu City, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Lake Havasu City'}
{'statement': 'You are looking for a city with cold weather. Between Sapporo and La Paz, you should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'La Paz'}
{'statement': 'You are looking for a city with cold weather. Between Nur-Sultan and Sacramento, you should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Sacramento'}
{'statement': 'You are looking for a city with cold weather. Between Lyon and Luanda, you should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Luanda'}
{'statement': 'You are looking for a city with cold weather. Between Wellington and Novosibirsk, you should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Wellington'}
{'statement': 'You are looking for a city with cold weather. Between Copenhagen and Muscat, you should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Muscat'}
{'statement': 'You are looking for a city with cold weather. Between Cotonou and Calgary, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a city with cold weather. Between Douala and Campos do Jordão, you should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Douala'}
{'statement': 'You are looking for a city with cold weather. Between Ségou and Irkutsk, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Ségou'}
{'statement': 'You are looking for a city with cold weather. Between Irkutsk and Gabès, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Gabès'}
{'statement': 'You are looking for a city with cold weather. Between Surabaya and Ürümqi, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a city with cold weather. Between Vladivostok and Pontianak, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Lviv and Paramaribo, you should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Paramaribo'}
{'statement': 'You are looking for a city with cold weather. Between Minneapolis and Pontianak, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Saint Petersburg and Parakou, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Parakou'}
{'statement': 'You are looking for a city with cold weather. Between Bangkok and Chihuahua, you should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a city with cold weather. Between La Paz and Frankfurt, you should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'La Paz'}
{'statement': 'You are looking for a city with cold weather. Between Erzurum and Mombasa, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a city with cold weather. Between Christchurch and Nouakchott, you should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nouakchott'}
{'statement': 'You are looking for a city with cold weather. Between Lagos and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Lagos'}
{'statement': 'You are looking for a city with cold weather. Between Barranquilla and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Sydney and Willemstad, you should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Willemstad'}
{'statement': 'You are looking for a city with cold weather. Between Milwaukee and Mombasa, you should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a city with cold weather. Between Paris and Toliara, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Toliara'}
{'statement': 'You are looking for a city with cold weather. Between Podgorica and Niamey, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Niamey'}
{'statement': 'You are looking for a city with cold weather. Between Halifax and Hanoi, you should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Skopje, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Suwałki and Kampala, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kampala'}
{'statement': 'You are looking for a city with cold weather. Between Bucharest and Makassar, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Makassar'}
{'statement': 'You are looking for a city with cold weather. Between Pretoria and Bergen, you should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Pretoria'}
