{'statement': "I'm looking for restaurants nearby. Between Mi Mi Restaurant and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between The Empire and Cafe Jules, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Milo's Pita and Roncy's Bean, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Ardor Bistro and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between JJ Bean and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants nearby. Between Galata Cafe and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "I'm looking for restaurants nearby. Between Druxy's Famous Deli and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for restaurants nearby. Between Green Grotto and Anatolia Restaurant, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Aroma Espresso Bar and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between Bagel Nash and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between Mamma's Pizza and Ardor Bistro, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and Tierra Azteca, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Modo Mio Italian Bistro and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for restaurants nearby. Between KFC and Bagel Nash, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between Tortería San Cosme and Cake Opera, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for restaurants nearby. Between Fit For Life and Carole's Cheesecake Cafe, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Tierra Azteca and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Tierra Azteca'}
{'statement': "I'm looking for restaurants nearby. Between Kibo Sushi House and Ici Bistro, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Adega Restaurante and Ici Bistro, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Topham Corner and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for restaurants nearby. Between Ici Bistro and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Beryl's Pepper Pot and Assembly Chef's Hall, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Assembly Chef's Hall"}
{'statement': "I'm looking for restaurants nearby. Between Tik Talk Cafe and St. Clair Shawarma and Falafel, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Tian An Cuisine and EJ Sushi, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Milo's Pita and Shawarma Twist, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Phil's Original BBQ, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for restaurants nearby. Between Magic Oven and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Cake Opera and Queen Pita, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for restaurants nearby. Between Druxy's Famous Deli and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': "Druxy's Famous Deli"}
{'statement': "I'm looking for restaurants nearby. Between Breakfast Room and Topham Corner, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for restaurants nearby. Between Chipotle Mexican Grill and EJ Sushi, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Piper's Pub And Grill and Joe Badali's Ristorante Italiano & Bar, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for restaurants nearby. Between St. Louis Bar & Grill and Edible Arrangements, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for restaurants nearby. Between Ici Bistro and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Fit For Life and Joe Badali's Ristorante Italiano & Bar, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for restaurants nearby. Between Falafel House and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Falafel House'}
{'statement': "I'm looking for restaurants nearby. Between Piper's Pub And Grill and Mt Everest Restaurant, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Lahore Grill & Fast Food and Freshii, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Tik Talk Cafe and Verona Restaurant, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Mt Everest Restaurant and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Grappa Ristorante and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Galata Cafe and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "I'm looking for restaurants nearby. Between Delicious Paradise Kitchen and New Bilan Restaurant, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between New Bilan Restaurant and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Sushi Time Japanese Restaurant and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between The Coffee Pocket and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'The Coffee Pocket'}
