{'statement': 'Someone is looking for a city with cold weather. Between Cotonou and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a city with cold weather. Between Ljubljana and Mahajanga, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Skopje and Lake Havasu City, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a city with cold weather. Between La Paz and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a city with cold weather. Between Nur-Sultan and Sacramento, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Sacramento'}
{'statement': 'Someone is looking for a city with cold weather. Between Luanda and Lyon, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a city with cold weather. Between Novosibirsk and Wellington, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Wellington'}
{'statement': 'Someone is looking for a city with cold weather. Between Muscat and Copenhagen, this person should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Muscat'}
{'statement': 'Someone is looking for a city with cold weather. Between Calgary and Cotonou, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Campos do Jordão, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between Irkutsk and Ségou, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a city with cold weather. Between Irkutsk and Gabès, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a city with cold weather. Between Surabaya and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a city with cold weather. Between Vladivostok and Pontianak, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Lviv and Paramaribo, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a city with cold weather. Between Minneapolis and Pontianak, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Saint Petersburg and Parakou, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Parakou'}
{'statement': 'Someone is looking for a city with cold weather. Between Chihuahua and Bangkok, this person should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a city with cold weather. Between Frankfurt and La Paz, this person should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a city with cold weather. Between Mombasa and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between Nouakchott and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nouakchott'}
{'statement': 'Someone is looking for a city with cold weather. Between Reykjavík and Lagos, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Sydney, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Milwaukee and Mombasa, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between Toliara and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Toliara'}
{'statement': 'Someone is looking for a city with cold weather. Between Podgorica and Niamey, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a city with cold weather. Between Halifax and Hanoi, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Mahajanga and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Suwałki and Kampala, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kampala'}
{'statement': 'Someone is looking for a city with cold weather. Between Bucharest and Makassar, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Makassar'}
{'statement': 'Someone is looking for a city with cold weather. Between Bergen and Pretoria, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a city with cold weather. Between Conakry and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Conakry'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Sudan and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a city with cold weather. Between Ulaanbaatar and Douala, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between Medellín and Kansas City, this person should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a city with cold weather. Between Yinchuan and Willemstad, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Honolulu and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a city with cold weather. Between Bujumbura and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Bujumbura'}
{'statement': 'Someone is looking for a city with cold weather. Between Moscow and Villahermosa, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Villahermosa'}
{'statement': 'Someone is looking for a city with cold weather. Between Suwałki and Upington, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a city with cold weather. Between Jakarta and Lyon, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a city with cold weather. Between Campos do Jordão and Garoua, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a city with cold weather. Between Ljubljana and Abéché, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Kano and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a city with cold weather. Between Fairbanks and Ho Chi Minh City, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a city with cold weather. Between Tucson and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Tucson'}
{'statement': 'Someone is looking for a city with cold weather. Between Copenhagen and Juba, this person should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a city with cold weather. Between San José and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'San José'}
{'statement': 'Someone is looking for a city with cold weather. Between Johannesburg and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a city with cold weather. Between Anchorage and Hamilton, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Hamilton'}
{'statement': 'Someone is looking for a city with cold weather. Between Tirana and Port Sudan, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a city with cold weather. Between Fianarantsoa and Río Gallegos, this person should visit Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Fianarantsoa'}
{'statement': 'Someone is looking for a city with cold weather. Between Almaty and Cabo San Lucas, this person should visit Almaty.', 'answer': 'Almaty', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a city with cold weather. Between Murmansk and Addis Ababa, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Addis Ababa'}
