{'statement': 'Someone is looking for a big city to visit. Between Monterrey and Florianópolis, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Kathmandu, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Phoenix and Mandalay, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a big city to visit. Between Sydney and Antofagasta, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Port-Gentil, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Cotonou, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and Makurdi, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a big city to visit. Between Phoenix and Podgorica, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Mahajanga, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a big city to visit. Between Medellín and Neuquén, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Neuquén'}
{'statement': 'Someone is looking for a big city to visit. Between Surabaya and Erbil, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Erbil'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Juba, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Yakutsk, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Palermo, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Palermo'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Minneapolis, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Surabaya and Fukuoka, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Pretoria, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Surabaya, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Curitiba, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Curitiba'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Pretoria, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Podgorica, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Ouahigouya, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Pontianak, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Nouakchott, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Nouakchott'}
{'statement': 'Someone is looking for a big city to visit. Between Douala and Ségou, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a big city to visit. Between Brisbane and Kuopio, this person should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Panama City, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Boise, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Boise'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Ouahigouya, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ouahigouya'}
